Entity,Code,Year,Bioenergy levelized cost of energy,Geothermal levelized cost of energy,Offshore wind levelized cost of energy,Solar photovoltaic levelized cost of energy,Concentrated solar power levelized cost of energy,Hydropower levelized cost of energy,Onshore wind levelized cost of energy
Chile,CHL,2020,,,,0.064652205,,,0.041278
Chile,CHL,2021,,,,0.04614953,,,0.041543
Chile,CHL,2022,,,,0.04221449,,,0.05386
Chile,CHL,2011,,,,,,,0.137715
China,CHN,2010,,,,0.330995,,,0.087353
China,CHN,2011,,,,0.28722313,,,0.082455
China,CHN,2012,,,,0.21079223,,,0.081039
China,CHN,2013,,,,0.16543208,,,0.076026
China,CHN,2014,,,,0.12361561,,,0.07166
China,CHN,2015,,,,0.09199076,,,0.066537
China,CHN,2016,,,,0.07977214,,,0.061516
China,CHN,2017,,,,0.069809034,,,0.048453
China,CHN,2018,,,,0.05340842,,,0.050813
China,CHN,2019,,,,0.049452208,,,0.039509
China,CHN,2020,,,,0.042106356,,,0.036389
China,CHN,2021,,,,0.03605934,,,0.029394
China,CHN,2022,,,,0.03718617,,,0.027206
China,CHN,1996,,,,,,,0.192398
China,CHN,1997,,,,,,,0.192398
China,CHN,1998,,,,,,,0.176535
China,CHN,1999,,,,,,,0.172683
China,CHN,2000,,,,,,,0.157806
China,CHN,2001,,,,,,,0.131794
China,CHN,2002,,,,,,,0.148441
China,CHN,2003,,,,,,,0.104044
China,CHN,2004,,,,,,,0.109855
China,CHN,2005,,,,,,,0.107592
China,CHN,2006,,,,,,,0.102112
China,CHN,2007,,,,,,,0.089451
China,CHN,2008,,,,,,,0.094648
China,CHN,2009,,,,,,,0.095892
Costa Rica,CRI,2011,,,,,,,0.0993
Costa Rica,CRI,2012,,,,,,,0.136604
Costa Rica,CRI,2014,,,,,,,0.070114
Costa Rica,CRI,2015,,,,,,,0.068275
Costa Rica,CRI,2016,,,,,,,0.077836
Costa Rica,CRI,2017,,,,,,,0.048729
Croatia,HRV,2011,,,,,,,0.159698
Croatia,HRV,2012,,,,,,,0.131804
Croatia,HRV,2014,,,,,,,0.167956
Croatia,HRV,2015,,,,,,,0.091314
Croatia,HRV,2016,,,,,,,0.089738
Croatia,HRV,2017,,,,,,,0.066794
Croatia,HRV,2020,,,,,,,0.050583
Croatia,HRV,2021,,,,,,,0.048123
Cyprus,CYP,2010,,,,,,,0.138182
Cyprus,CYP,2011,,,,,,,0.140427
Cyprus,CYP,2012,,,,,,,0.174287
Cyprus,CYP,2013,,,,,,,0.20389
Cyprus,CYP,2016,,,,,,,0.112054
Denmark,DNK,1984,,,,,,,0.251222
Denmark,DNK,1985,,,,,,,0.235514
Denmark,DNK,1986,,,,,,,0.228159
Denmark,DNK,1987,,,,,,,0.217592
Denmark,DNK,1988,,,,,,,0.227851
Denmark,DNK,1989,,,,,,,0.207636
Denmark,DNK,1990,,,,,,,0.208534
Denmark,DNK,1991,,,,,,,0.197323
Denmark,DNK,1992,,,,,,,0.193723
Denmark,DNK,1993,,,,,,,0.194545
Denmark,DNK,1995,,,,,,,0.161696
Denmark,DNK,1996,,,,,,,0.157487
Denmark,DNK,1997,,,,,,,0.161735
Denmark,DNK,1998,,,,,,,0.165042
Denmark,DNK,1999,,,,,,,0.161926
Denmark,DNK,2000,,,,,,,0.176165
Denmark,DNK,2001,,,,,,,0.169791
Denmark,DNK,2002,,,,,,,0.124462
Denmark,DNK,2003,,,,,,,0.099902
Denmark,DNK,2004,,,,,,,0.088983
Denmark,DNK,2005,,,,,,,0.104486
Denmark,DNK,2006,,,,,,,0.129614
Denmark,DNK,2008,,,,,,,0.12522
Denmark,DNK,2010,,,,,,,0.126289
Denmark,DNK,2011,,,,,,,0.123388
Denmark,DNK,2012,,,,,,,0.095886
Denmark,DNK,2013,,,,,,,0.093787
Denmark,DNK,2015,,,,,,,0.066549
Denmark,DNK,2016,,,,,,,0.058397
Denmark,DNK,2017,,,,,,,0.048251
Denmark,DNK,2018,,,,,,,0.046081
Denmark,DNK,2019,,,,,,,0.047558
Denmark,DNK,2020,,,,,,,0.042062
Dominican Republic,DOM,2011,,,,,,,0.077628
Dominican Republic,DOM,2012,,,,,,,0.117745
Dominican Republic,DOM,2013,,,,,,,0.081074
Dominican Republic,DOM,2014,,,,,,,0.152714
Dominican Republic,DOM,2016,,,,,,,0.086319
Dominican Republic,DOM,2017,,,,,,,0.055101
Dominican Republic,DOM,2018,,,,,,,0.073561
Dominican Republic,DOM,2019,,,,,,,0.055299
Dominican Republic,DOM,2020,,,,,,,0.061456
Egypt,EGY,2010,,,,,,,0.07341
Egypt,EGY,2015,,,,,,,0.067369
Egypt,EGY,2018,,,,,,,0.060144
Egypt,EGY,2020,,,,,,,0.048649
Egypt,EGY,2021,,,,,,,0.045919
Egypt,EGY,2022,,,,,,,0.044374
Ethiopia,ETH,2011,,,,,,,0.110369
Ethiopia,ETH,2012,,,,,,,0.103539
Ethiopia,ETH,2015,,,,,,,0.092807
Ethiopia,ETH,2016,,,,,,,0.094852
Ethiopia,ETH,2019,,,,,,,0.064649
Ethiopia,ETH,2022,,,,,,,0.049145
Finland,FIN,2013,,,,,,,0.066618
Finland,FIN,2014,,,,,,,0.086556
Finland,FIN,2015,,,,,,,0.080902
Finland,FIN,2016,,,,,,,0.067363
Finland,FIN,2017,,,,,,,0.05825
Finland,FIN,2018,,,,,,,0.051314
Finland,FIN,2019,,,,,,,0.028992
Finland,FIN,2020,,,,,,,0.033538
Finland,FIN,2021,,,,,,,0.038367
Finland,FIN,2022,,,,,,,0.041772
France,FRA,2010,,,,0.4225931,,,0.141617
France,FRA,2011,,,,0.42939922,,,0.1249
France,FRA,2012,,,,0.43646008,,,0.111206
France,FRA,2013,,,,0.25895405,,,0.100853
France,FRA,2014,,,,0.17239062,,,0.092291
France,FRA,2015,,,,0.12091509,,,0.086341
France,FRA,2016,,,,0.09515186,,,0.079164
France,FRA,2017,,,,0.08525018,,,0.08686
France,FRA,2018,,,,0.071946286,,,0.067609
France,FRA,2019,,,,0.066036224,,,0.055386
France,FRA,2020,,,,0.058353577,,,0.048789
France,FRA,2021,,,,0.05174847,,,0.047713
France,FRA,2022,,,,0.06200016,,,0.050422
France,FRA,1991,,,,,,,0.214867
France,FRA,1993,,,,,,,0.228122
France,FRA,1996,,,,,,,0.20902
France,FRA,1997,,,,,,,0.194518
France,FRA,1998,,,,,,,0.192512
France,FRA,1999,,,,,,,0.184367
France,FRA,2000,,,,,,,0.146444
France,FRA,2001,,,,,,,0.148824
France,FRA,2002,,,,,,,0.153794
France,FRA,2003,,,,,,,0.119091
France,FRA,2004,,,,,,,0.13408
France,FRA,2005,,,,,,,0.13236
France,FRA,2006,,,,,,,0.133383
France,FRA,2007,,,,,,,0.125424
France,FRA,2008,,,,,,,0.168429
France,FRA,2009,,,,,,,0.138934
Germany,DEU,2010,,,,0.40097448,,,0.149296
Germany,DEU,2011,,,,0.33901644,,,0.142717
Germany,DEU,2012,,,,0.27324483,,,0.127177
Germany,DEU,2013,,,,0.21604398,,,0.118787
Germany,DEU,2014,,,,0.15921888,,,0.105878
Germany,DEU,2015,,,,0.12678155,,,0.095103
Germany,DEU,2016,,,,0.11110781,,,0.085712
Germany,DEU,2017,,,,0.10126371,,,0.083017
Germany,DEU,2018,,,,0.097046494,,,0.069719
Germany,DEU,2019,,,,0.07996698,,,0.057321
Germany,DEU,2020,,,,0.06856065,,,0.048936
Germany,DEU,2021,,,,0.06284535,,,0.053676
Germany,DEU,2022,,,,0.08007402,,,0.055075
Germany,DEU,1984,,,,,,,0.267028
Germany,DEU,1990,,,,,,,0.232271
Germany,DEU,1991,,,,,,,0.219891
Germany,DEU,1992,,,,,,,0.238911
Germany,DEU,1993,,,,,,,0.233837
Germany,DEU,1994,,,,,,,0.17646
Germany,DEU,1995,,,,,,,0.216339
Germany,DEU,1996,,,,,,,0.198709
Germany,DEU,1997,,,,,,,0.197395
Germany,DEU,1998,,,,,,,0.183947
Germany,DEU,1999,,,,,,,0.195927
Germany,DEU,2000,,,,,,,0.193082
Germany,DEU,2001,,,,,,,0.201537
Germany,DEU,2002,,,,,,,0.16055
Germany,DEU,2003,,,,,,,0.14665
Germany,DEU,2004,,,,,,,0.146773
Germany,DEU,2005,,,,,,,0.151904
Germany,DEU,2006,,,,,,,0.156253
Germany,DEU,2007,,,,,,,0.143635
Germany,DEU,2008,,,,,,,0.172537
Germany,DEU,2009,,,,,,,0.159451
Greece,GRC,2010,,,,,,,0.144191
Greece,GRC,2011,,,,,,,0.095964
Greece,GRC,2012,,,,,,,0.115195
Greece,GRC,2014,,,,,,,0.103033
Greece,GRC,2015,,,,,,,0.09834
Greece,GRC,2016,,,,,,,0.081623
Greece,GRC,2017,,,,,,,0.079183
Greece,GRC,2018,,,,,,,0.082053
Greece,GRC,2019,,,,,,,0.068436
Greece,GRC,2020,,,,,,,0.069609
Greece,GRC,2021,,,,,,,0.056644
Greece,GRC,2022,,,,,,,0.049179
India,IND,2010,,,,0.37592155,,,0.096308
India,IND,2011,,,,0.23890145,,,0.087914
India,IND,2012,,,,0.20330417,,,0.101541
India,IND,2013,,,,0.20295332,,,0.098054
India,IND,2014,,,,0.13230304,,,0.096737
India,IND,2015,,,,0.086620554,,,0.081583
India,IND,2016,,,,0.081654124,,,0.070763
India,IND,2017,,,,0.07455268,,,0.056921
India,IND,2018,,,,0.05410419,,,0.044688
India,IND,2019,,,,0.042814795,,,0.044496
India,IND,2020,,,,0.040612355,,,0.040354
India,IND,2021,,,,0.0367493,,,0.031525
India,IND,2022,,,,0.03741286,,,0.037443
India,IND,1990,,,,,,,0.252668
India,IND,1991,,,,,,,0.288706
India,IND,1992,,,,,,,0.264495
India,IND,1993,,,,,,,0.264495
India,IND,1994,,,,,,,0.264495
India,IND,1995,,,,,,,0.248355
India,IND,1996,,,,,,,0.240285
India,IND,1997,,,,,,,0.220604
India,IND,1998,,,,,,,0.224144
India,IND,1999,,,,,,,0.216074
India,IND,2000,,,,,,,0.1949
India,IND,2001,,,,,,,0.156927
India,IND,2002,,,,,,,0.146216
India,IND,2003,,,,,,,0.158632
India,IND,2004,,,,,,,0.116275
India,IND,2005,,,,,,,0.122382
India,IND,2006,,,,,,,0.137082
India,IND,2007,,,,,,,0.11018
India,IND,2008,,,,,,,0.116957
India,IND,2009,,,,,,,0.09001
Indonesia,IDN,2017,,,,,,,0.129645
Indonesia,IDN,2018,,,,,,,0.068458
Indonesia,IDN,2019,,,,,,,0.105132
Indonesia,IDN,2020,,,,,,,0.081443
Ireland,IRL,2010,,,,,,,0.150385
Ireland,IRL,2011,,,,,,,0.100176
Ireland,IRL,2012,,,,,,,0.089054
Ireland,IRL,2013,,,,,,,0.08737
Ireland,IRL,2014,,,,,,,0.110067
Ireland,IRL,2015,,,,,,,0.05766
Ireland,IRL,2016,,,,,,,0.049587
Ireland,IRL,2017,,,,,,,0.056877
Ireland,IRL,2018,,,,,,,0.051144
Ireland,IRL,2019,,,,,,,0.059887
Ireland,IRL,2020,,,,,,,0.075499
Ireland,IRL,2022,,,,,,,0.041671
Italy,ITA,2010,,,,0.44737586,,,0.143245
Italy,ITA,2011,,,,0.4211376,,,0.164789
Italy,ITA,2012,,,,0.21415241,,,0.149032
Italy,ITA,2013,,,,0.18913424,,,0.107878
Italy,ITA,2014,,,,0.15578276,,,0.102745
Italy,ITA,2017,,,,0.0766658,,,0.092362
Italy,ITA,2018,,,,0.067117736,,,0.060019
Italy,ITA,2019,,,,0.0620062,,,0.0552
Italy,ITA,2020,,,,0.058409367,,,0.054905
Italy,ITA,2021,,,,0.05323713,,,0.042822
Italy,ITA,2022,,,,0.061481748,,,0.041859
Italy,ITA,1989,,,,,,,0.216098
Italy,ITA,1991,,,,,,,0.205463
Italy,ITA,1992,,,,,,,0.222499
Italy,ITA,1993,,,,,,,0.217425
Italy,ITA,1994,,,,,,,0.204163
Italy,ITA,1995,,,,,,,0.192946
Italy,ITA,1996,,,,,,,0.19776
Italy,ITA,1997,,,,,,,0.183821
Italy,ITA,1998,,,,,,,0.181815
Italy,ITA,1999,,,,,,,0.173669
Italy,ITA,2000,,,,,,,0.166547
Italy,ITA,2001,,,,,,,0.139522
Italy,ITA,2002,,,,,,,0.155818
Italy,ITA,2003,,,,,,,0.140922
Italy,ITA,2004,,,,,,,0.121927
Italy,ITA,2005,,,,,,,0.138073
Italy,ITA,2006,,,,,,,0.135651
Italy,ITA,2007,,,,,,,0.134712
Italy,ITA,2008,,,,,,,0.144074
Italy,ITA,2009,,,,,,,0.154513
Italy,ITA,2015,,,,,,,0.099279
Italy,ITA,2016,,,,,,,0.075937
Japan,JPN,2011,,,,0.4680197,,,0.155317
Japan,JPN,2012,,,,0.33444336,,,0.195211
Japan,JPN,2013,,,,0.27733096,,,0.174267
Japan,JPN,2014,,,,0.24564832,,,0.162808
Japan,JPN,2015,,,,0.17546622,,,0.134309
Japan,JPN,2016,,,,0.1764688,,,0.187525
Japan,JPN,2017,,,,0.13930285,,,0.132143
Japan,JPN,2018,,,,0.12882674,,,0.148805
Japan,JPN,2019,,,,0.11837399,,,0.127307
Japan,JPN,2020,,,,0.11038953,,,0.112862
Japan,JPN,2021,,,,0.09150243,,,0.147591
Japan,JPN,2022,,,,0.0957912,,,0.150431
Japan,JPN,2000,,,,,,,0.176652
Japan,JPN,2005,,,,,,,0.174515
Japan,JPN,2010,,,,,,,0.17883
Mexico,MEX,2012,,,,0.30423665,,,0.069919
Mexico,MEX,2013,,,,0.1963714,,,0.081588
Mexico,MEX,2014,,,,0.14008147,,,0.079643
Mexico,MEX,2015,,,,0.0869494,,,0.073108
Mexico,MEX,2016,,,,0.1632413,,,0.073009
Mexico,MEX,2017,,,,0.14793271,,,0.061085
Mexico,MEX,2018,,,,0.086546466,,,0.043343
Mexico,MEX,2019,,,,0.07798032,,,0.059641
Mexico,MEX,2020,,,,0.057785764,,,0.048257
Mexico,MEX,2021,,,,0.05221467,,,0.044128
Mexico,MEX,2022,,,,0.06615012,,,0.046274
Mexico,MEX,2007,,,,,,,0.066652
Mexico,MEX,2008,,,,,,,0.058698
Mexico,MEX,2009,,,,,,,0.087951
Mexico,MEX,2010,,,,,,,0.104125
Mexico,MEX,2011,,,,,,,0.08968
Morocco,MAR,2011,,,,,,,0.076557
Morocco,MAR,2012,,,,,,,0.094803
Morocco,MAR,2013,,,,,,,0.073765
Morocco,MAR,2014,,,,,,,0.069975
Morocco,MAR,2016,,,,,,,0.057595
Morocco,MAR,2017,,,,,,,0.049927
Morocco,MAR,2018,,,,,,,0.060315
Morocco,MAR,2020,,,,,,,0.044372
Morocco,MAR,2021,,,,,,,0.049285
Morocco,MAR,2022,,,,,,,0.051797
Netherlands,NLD,2016,,,,0.1259811,,,0.079173
Netherlands,NLD,2017,,,,0.1405184,,,0.087034
Netherlands,NLD,2018,,,,0.10676034,,,0.047723
Netherlands,NLD,2019,,,,0.10183446,,,0.05274
Netherlands,NLD,2020,,,,0.098661825,,,0.039269
Netherlands,NLD,2021,,,,0.08207977,,,0.044441
Netherlands,NLD,2022,,,,0.08952435,,,0.045833
Netherlands,NLD,2010,,,,,,,0.099622
Netherlands,NLD,2012,,,,,,,0.119361
Netherlands,NLD,2013,,,,,,,0.084756
Netherlands,NLD,2014,,,,,,,0.101348
Netherlands,NLD,2015,,,,,,,0.093622
New Zealand,NZL,2011,,,,,,,0.083594
New Zealand,NZL,2014,,,,,,,0.077248
New Zealand,NZL,2015,,,,,,,0.06627
New Zealand,NZL,2020,,,,,,,0.03537
New Zealand,NZL,2021,,,,,,,0.034583
Norway,NOR,2012,,,,,,,0.114621
Norway,NOR,2013,,,,,,,0.091948
Norway,NOR,2015,,,,,,,0.058446
Norway,NOR,2016,,,,,,,0.066402
Norway,NOR,2017,,,,,,,0.057428
Norway,NOR,2018,,,,,,,0.06069
Norway,NOR,2019,,,,,,,0.060336
Norway,NOR,2020,,,,,,,0.039909
Norway,NOR,2021,,,,,,,0.039125
Pakistan,PAK,2012,,,,,,,0.138171
Pakistan,PAK,2014,,,,,,,0.112964
Pakistan,PAK,2015,,,,,,,0.132841
Pakistan,PAK,2016,,,,,,,0.116194
Pakistan,PAK,2017,,,,,,,0.125528
Pakistan,PAK,2018,,,,,,,0.091131
Pakistan,PAK,2021,,,,,,,0.071252
Pakistan,PAK,2022,,,,,,,0.051688
Panama,PAN,2013,,,,,,,0.092489
Panama,PAN,2014,,,,,,,0.082495
Panama,PAN,2015,,,,,,,0.088698
Panama,PAN,2016,,,,,,,0.113764
Peru,PER,2013,,,,,,,0.060482
Peru,PER,2014,,,,,,,0.087893
Peru,PER,2015,,,,,,,0.064857
Peru,PER,2016,,,,,,,0.05197
Peru,PER,2018,,,,,,,0.032946
Philippines,PHL,2013,,,,,,,0.163321
Philippines,PHL,2014,,,,,,,0.13803
Philippines,PHL,2015,,,,,,,0.136369
Philippines,PHL,2016,,,,,,,0.136861
Philippines,PHL,2017,,,,,,,0.107185
Philippines,PHL,2019,,,,,,,0.070289
Poland,POL,2010,,,,,,,0.168865
Poland,POL,2011,,,,,,,0.145478
Poland,POL,2012,,,,,,,0.133152
Poland,POL,2013,,,,,,,0.154932
Poland,POL,2014,,,,,,,0.111487
Poland,POL,2015,,,,,,,0.090109
Poland,POL,2016,,,,,,,0.08173
Poland,POL,2017,,,,,,,0.062274
Poland,POL,2020,,,,,,,0.041481
Poland,POL,2021,,,,,,,0.0458
Poland,POL,2022,,,,,,,0.050655
Portugal,PRT,2010,,,,,,,0.113785
Portugal,PRT,2011,,,,,,,0.146164
Portugal,PRT,2012,,,,,,,0.122204
Portugal,PRT,2013,,,,,,,0.117706
Portugal,PRT,2014,,,,,,,0.0907
Portugal,PRT,2015,,,,,,,0.087446
Portugal,PRT,2016,,,,,,,0.090991
Portugal,PRT,2017,,,,,,,0.054806
Portugal,PRT,2018,,,,,,,0.050567
Russia,RUS,2015,,,,,,,0.103374
Russia,RUS,2018,,,,,,,0.059014
Russia,RUS,2019,,,,,,,0.05729
Russia,RUS,2020,,,,,,,0.057032
Russia,RUS,2021,,,,,,,0.049459
Russia,RUS,2022,,,,,,,0.045548
South Africa,ZAF,2012,,,,,,,0.122616
South Africa,ZAF,2013,,,,,,,0.139297
South Africa,ZAF,2014,,,,,,,0.119395
South Africa,ZAF,2015,,,,,,,0.096282
South Africa,ZAF,2016,,,,,,,0.087566
South Africa,ZAF,2017,,,,,,,0.069996
South Africa,ZAF,2019,,,,,,,0.060296
South Africa,ZAF,2020,,,,,,,0.054042
South Africa,ZAF,2021,,,,,,,0.050264
South Africa,ZAF,2022,,,,,,,0.045444
South Korea,KOR,2010,,,,0.48148832,,,0.134266
South Korea,KOR,2011,,,,0.50377744,,,0.126623
South Korea,KOR,2012,,,,0.20254922,,,0.134918
South Korea,KOR,2013,,,,0.2395977,,,
South Korea,KOR,2014,,,,0.18447316,,,
South Korea,KOR,2015,,,,0.16949582,,,0.128883
South Korea,KOR,2016,,,,0.162409,,,0.08473
South Korea,KOR,2017,,,,0.10927314,,,0.080867
South Korea,KOR,2018,,,,0.08995771,,,0.065498
South Korea,KOR,2019,,,,0.082606785,,,0.067839
South Korea,KOR,2020,,,,0.062840775,,,
South Korea,KOR,2021,,,,0.05874097,,,0.065899
South Korea,KOR,2022,,,,0.07380281,,,0.081574
Spain,ESP,2010,,,,0.34753555,,,0.1238
Spain,ESP,2011,,,,0.24179699,,,0.116542
Spain,ESP,2012,,,,0.19487868,,,0.100501
Spain,ESP,2013,,,,0.14886849,,,0.096281
Spain,ESP,2014,,,,0.14308938,,,0.080332
Spain,ESP,2015,,,,0.08336137,,,0.065194
Spain,ESP,2019,,,,0.052822124,,,0.040546
Spain,ESP,2020,,,,0.04843787,,,0.032548
Spain,ESP,2021,,,,0.05023073,,,0.026452
Spain,ESP,2022,,,,0.046064045,,,0.032864
Spain,ESP,1990,,,,,,,0.162121
Spain,ESP,1991,,,,,,,0.160674
Spain,ESP,1992,,,,,,,0.152573
Spain,ESP,1993,,,,,,,0.148909
Spain,ESP,1994,,,,,,,0.13933
Spain,ESP,1995,,,,,,,0.131228
Spain,ESP,1996,,,,,,,0.127563
Spain,ESP,1997,,,,,,,0.124638
Spain,ESP,1998,,,,,,,0.120232
Spain,ESP,1999,,,,,,,0.11175
Spain,ESP,2000,,,,,,,0.116277
Spain,ESP,2001,,,,,,,0.112483
Spain,ESP,2002,,,,,,,0.106301
Spain,ESP,2003,,,,,,,0.102723
Spain,ESP,2004,,,,,,,0.113345
Spain,ESP,2005,,,,,,,0.106716
Spain,ESP,2006,,,,,,,0.110201
Spain,ESP,2007,,,,,,,0.12801
Spain,ESP,2008,,,,,,,0.126086
Spain,ESP,2009,,,,,,,0.120935
Spain,ESP,2016,,,,,,,0.060139
Spain,ESP,2017,,,,,,,0.059187
Spain,ESP,2018,,,,,,,0.081507
Sweden,SWE,1984,,,,,,,0.266385
Sweden,SWE,1990,,,,,,,0.231658
Sweden,SWE,1991,,,,,,,0.219306
Sweden,SWE,1992,,,,,,,0.238245
Sweden,SWE,1993,,,,,,,0.233172
Sweden,SWE,1994,,,,,,,0.21991
Sweden,SWE,1995,,,,,,,0.208692
Sweden,SWE,1996,,,,,,,0.214335
Sweden,SWE,1997,,,,,,,0.199568
Sweden,SWE,1998,,,,,,,0.197562
Sweden,SWE,1999,,,,,,,0.189416
Sweden,SWE,2001,,,,,,,0.153214
Sweden,SWE,2002,,,,,,,0.17531
Sweden,SWE,2003,,,,,,,0.135491
Sweden,SWE,2004,,,,,,,0.14734
Sweden,SWE,2005,,,,,,,0.152443
Sweden,SWE,2006,,,,,,,0.152443
Sweden,SWE,2007,,,,,,,0.138078
Sweden,SWE,2008,,,,,,,0.156497
Sweden,SWE,2009,,,,,,,0.150479
Sweden,SWE,2010,,,,,,,0.120634
Sweden,SWE,2011,,,,,,,0.11468
Sweden,SWE,2012,,,,,,,0.111008
Sweden,SWE,2013,,,,,,,0.088337
Sweden,SWE,2014,,,,,,,0.095676
Sweden,SWE,2015,,,,,,,0.077781
Sweden,SWE,2016,,,,,,,0.066453
Sweden,SWE,2017,,,,,,,0.059721
Sweden,SWE,2018,,,,,,,0.044338
Sweden,SWE,2019,,,,,,,0.042437
Sweden,SWE,2020,,,,,,,0.040481
Sweden,SWE,2021,,,,,,,0.038096
Sweden,SWE,2022,,,,,,,0.03722
Turkey,TUR,2016,,,,0.1343063,,,0.076214
Turkey,TUR,2017,,,,0.12759583,,,0.068784
Turkey,TUR,2018,,,,0.10157624,,,0.076567
Turkey,TUR,2019,,,,0.09205073,,,0.073157
Turkey,TUR,2020,,,,0.07084253,,,0.052992
Turkey,TUR,2021,,,,0.067605205,,,0.047002
Turkey,TUR,2022,,,,0.0708197,,,0.05496
Turkey,TUR,1998,,,,,,,0.090889
Turkey,TUR,2000,,,,,,,0.082568
Turkey,TUR,2009,,,,,,,0.071003
Turkey,TUR,2010,,,,,,,0.135018
Turkey,TUR,2011,,,,,,,0.099949
Turkey,TUR,2012,,,,,,,0.088536
Turkey,TUR,2013,,,,,,,0.089529
Turkey,TUR,2014,,,,,,,0.097743
Turkey,TUR,2015,,,,,,,0.085142
Ukraine,UKR,2013,,,,,,,0.153438
Ukraine,UKR,2014,,,,,,,0.125688
Ukraine,UKR,2017,,,,,,,0.103933
Ukraine,UKR,2019,,,,,,,0.081916
Ukraine,UKR,2020,,,,,,,0.055835
