"Notes"	"ICD Chapter"	"ICD Chapter Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Certain infectious and parasitic diseases"	"A00-B99"	"Oct., 2020 "	"2020/10"	5461	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Nov., 2020 "	"2020/11"	5616	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Dec., 2020 "	"2020/12"	6220	Not Applicable	Not Applicable
"Total"	"Certain infectious and parasitic diseases"	"A00-B99"			133022	Not Applicable	Not Applicable
	"Neoplasms"	"C00-D48"	"Jan., 2019"	"2019/01"	53493	Not Applicable	Not Applicable
	"Neoplasms"	"C00-D48"	"Feb., 2019"	"2019/02"	47957	Not Applicable	Not Applicable
	"Neoplasms"	"C00-D48"	"Mar., 2019"	"2019/03"	52737	Not Applicable	Not Applicable
	"Neoplasms"	"C00-D48"	"Apr., 2019"	"2019/04"	49722	Not Applicable	Not Applicable
	"Neoplasms"	"C00-D48"	"May, 2019"	"2019/05"	51906	Not Applicable	Not Applicable
	"Neoplasms"	"C00-D48"	"Jun., 2019"	"2019/06"	49822	Not Applicable	Not Applicable
	"Neoplasms"	"C00-D48"	"Jul., 2019"	"2019/07"	51342	Not Applicable	Not Applicable
	"Neoplasms"	"C00-D48"	"Aug., 2019"	"2019/08"	51795	Not Applicable	Not Applicable
	"Neoplasms"	"C00-D48"	"Sep., 2019"	"2019/09"	50214	Not Applicable	Not Applicable
	"Neoplasms"	"C00-D48"	"Oct., 2019"	"2019/10"	52910	Not Applicable	Not Applicable
	"Neoplasms"	"C00-D48"	"Nov., 2019"	"2019/11"	51093	Not Applicable	Not Applicable
	"Neoplasms"	"C00-D48"	"Dec., 2019"	"2019/12"	52200	Not Applicable	Not Applicable
	"Neoplasms"	"C00-D48"	"Jan., 2020 "	"2020/01"	53957	Not Applicable	Not Applicable
	"Neoplasms"	"C00-D48"	"Feb., 2020 "	"2020/02"	50092	Not Applicable	Not Applicable
	"Neoplasms"	"C00-D48"	"Mar., 2020 "	"2020/03"	52940	Not Applicable	Not Applicable
	"Neoplasms"	"C00-D48"	"Apr., 2020 "	"2020/04"	50035	Not Applicable	Not Applicable
	"Neoplasms"	"C00-D48"	"May, 2020 "	"2020/05"	50282	Not Applicable	Not Applicable
	"Neoplasms"	"C00-D48"	"Jun., 2020 "	"2020/06"	49173	Not Applicable	Not Applicable
	"Neoplasms"	"C00-D48"	"Jul., 2020 "	"2020/07"	51920	Not Applicable	Not Applicable
	"Neoplasms"	"C00-D48"	"Aug., 2020 "	"2020/08"	52511	Not Applicable	Not Applicable
	"Neoplasms"	"C00-D48"	"Sep., 2020 "	"2020/09"	50962	Not Applicable	Not Applicable
	"Neoplasms"	"C00-D48"	"Oct., 2020 "	"2020/10"	52528	Not Applicable	Not Applicable
	"Neoplasms"	"C00-D48"	"Nov., 2020 "	"2020/11"	50917	Not Applicable	Not Applicable
	"Neoplasms"	"C00-D48"	"Dec., 2020 "	"2020/12"	53262	Not Applicable	Not Applicable
"Total"	"Neoplasms"	"C00-D48"			1233770	Not Applicable	Not Applicable
	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Jan., 2019"	"2019/01"	1014	Not Applicable	Not Applicable
	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Feb., 2019"	"2019/02"	877	Not Applicable	Not Applicable
	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Mar., 2019"	"2019/03"	945	Not Applicable	Not Applicable
	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Apr., 2019"	"2019/04"	904	Not Applicable	Not Applicable
	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"May, 2019"	"2019/05"	954	Not Applicable	Not Applicable
	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Jun., 2019"	"2019/06"	827	Not Applicable	Not Applicable
	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Jul., 2019"	"2019/07"	842	Not Applicable	Not Applicable
	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Aug., 2019"	"2019/08"	837	Not Applicable	Not Applicable
	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Sep., 2019"	"2019/09"	857	Not Applicable	Not Applicable
	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Oct., 2019"	"2019/10"	832	Not Applicable	Not Applicable
	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Nov., 2019"	"2019/11"	904	Not Applicable	Not Applicable
	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Dec., 2019"	"2019/12"	1022	Not Applicable	Not Applicable
	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Jan., 2020 "	"2020/01"	1059	Not Applicable	Not Applicable
	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Feb., 2020 "	"2020/02"	877	Not Applicable	Not Applicable
	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Mar., 2020 "	"2020/03"	964	Not Applicable	Not Applicable
	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Apr., 2020 "	"2020/04"	975	Not Applicable	Not Applicable
	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"May, 2020 "	"2020/05"	910	Not Applicable	Not Applicable
	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Jun., 2020 "	"2020/06"	850	Not Applicable	Not Applicable
	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Jul., 2020 "	"2020/07"	925	Not Applicable	Not Applicable
	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Aug., 2020 "	"2020/08"	983	Not Applicable	Not Applicable
	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Sep., 2020 "	"2020/09"	911	Not Applicable	Not Applicable
	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Oct., 2020 "	"2020/10"	978	Not Applicable	Not Applicable
	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Nov., 2020 "	"2020/11"	970	Not Applicable	Not Applicable
	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Dec., 2020 "	"2020/12"	1064	Not Applicable	Not Applicable
"Total"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"			22281	Not Applicable	Not Applicable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Jan., 2019"	"2019/01"	12973	Not Applicable	Not Applicable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Feb., 2019"	"2019/02"	11610	Not Applicable	Not Applicable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Mar., 2019"	"2019/03"	12518	Not Applicable	Not Applicable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Apr., 2019"	"2019/04"	11711	Not Applicable	Not Applicable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"May, 2019"	"2019/05"	11431	Not Applicable	Not Applicable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Jun., 2019"	"2019/06"	10819	Not Applicable	Not Applicable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Jul., 2019"	"2019/07"	11025	Not Applicable	Not Applicable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Aug., 2019"	"2019/08"	10776	Not Applicable	Not Applicable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Sep., 2019"	"2019/09"	10694	Not Applicable	Not Applicable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Oct., 2019"	"2019/10"	11461	Not Applicable	Not Applicable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Nov., 2019"	"2019/11"	11834	Not Applicable	Not Applicable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Dec., 2019"	"2019/12"	13255	Not Applicable	Not Applicable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Jan., 2020 "	"2020/01"	13291	Not Applicable	Not Applicable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Feb., 2020 "	"2020/02"	12505	Not Applicable	Not Applicable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Mar., 2020 "	"2020/03"	13487	Not Applicable	Not Applicable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Apr., 2020 "	"2020/04"	14474	Not Applicable	Not Applicable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"May, 2020 "	"2020/05"	13197	Not Applicable	Not Applicable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Jun., 2020 "	"2020/06"	12367	Not Applicable	Not Applicable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Jul., 2020 "	"2020/07"	13710	Not Applicable	Not Applicable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Aug., 2020 "	"2020/08"	13602	Not Applicable	Not Applicable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Sep., 2020 "	"2020/09"	12982	Not Applicable	Not Applicable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Oct., 2020 "	"2020/10"	13651	Not Applicable	Not Applicable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Nov., 2020 "	"2020/11"	14425	Not Applicable	Not Applicable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Dec., 2020 "	"2020/12"	16437	Not Applicable	Not Applicable
"Total"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"			304235	Not Applicable	Not Applicable
	"Mental and behavioural disorders"	"F01-F99"	"Jan., 2019"	"2019/01"	12448	Not Applicable	Not Applicable
	"Mental and behavioural disorders"	"F01-F99"	"Feb., 2019"	"2019/02"	11178	Not Applicable	Not Applicable
	"Mental and behavioural disorders"	"F01-F99"	"Mar., 2019"	"2019/03"	12198	Not Applicable	Not Applicable
	"Mental and behavioural disorders"	"F01-F99"	"Apr., 2019"	"2019/04"	10943	Not Applicable	Not Applicable
	"Mental and behavioural disorders"	"F01-F99"	"May, 2019"	"2019/05"	10661	Not Applicable	Not Applicable
	"Mental and behavioural disorders"	"F01-F99"	"Jun., 2019"	"2019/06"	10249	Not Applicable	Not Applicable
	"Mental and behavioural disorders"	"F01-F99"	"Jul., 2019"	"2019/07"	10331	Not Applicable	Not Applicable
	"Mental and behavioural disorders"	"F01-F99"	"Aug., 2019"	"2019/08"	10202	Not Applicable	Not Applicable
	"Mental and behavioural disorders"	"F01-F99"	"Sep., 2019"	"2019/09"	10271	Not Applicable	Not Applicable
	"Mental and behavioural disorders"	"F01-F99"	"Oct., 2019"	"2019/10"	11460	Not Applicable	Not Applicable
	"Mental and behavioural disorders"	"F01-F99"	"Nov., 2019"	"2019/11"	11672	Not Applicable	Not Applicable
	"Mental and behavioural disorders"	"F01-F99"	"Dec., 2019"	"2019/12"	12346	Not Applicable	Not Applicable
	"Mental and behavioural disorders"	"F01-F99"	"Jan., 2020 "	"2020/01"	12593	Not Applicable	Not Applicable
	"Mental and behavioural disorders"	"F01-F99"	"Feb., 2020 "	"2020/02"	11496	Not Applicable	Not Applicable
	"Mental and behavioural disorders"	"F01-F99"	"Mar., 2020 "	"2020/03"	12521	Not Applicable	Not Applicable
	"Mental and behavioural disorders"	"F01-F99"	"Apr., 2020 "	"2020/04"	14360	Not Applicable	Not Applicable
	"Mental and behavioural disorders"	"F01-F99"	"May, 2020 "	"2020/05"	12243	Not Applicable	Not Applicable
	"Mental and behavioural disorders"	"F01-F99"	"Jun., 2020 "	"2020/06"	10861	Not Applicable	Not Applicable
	"Mental and behavioural disorders"	"F01-F99"	"Jul., 2020 "	"2020/07"	11984	Not Applicable	Not Applicable
	"Mental and behavioural disorders"	"F01-F99"	"Aug., 2020 "	"2020/08"	11822	Not Applicable	Not Applicable
	"Mental and behavioural disorders"	"F01-F99"	"Sep., 2020 "	"2020/09"	11445	Not Applicable	Not Applicable
	"Mental and behavioural disorders"	"F01-F99"	"Oct., 2020 "	"2020/10"	12179	Not Applicable	Not Applicable
	"Mental and behavioural disorders"	"F01-F99"	"Nov., 2020 "	"2020/11"	12865	Not Applicable	Not Applicable
	"Mental and behavioural disorders"	"F01-F99"	"Dec., 2020 "	"2020/12"	14063	Not Applicable	Not Applicable
"Total"	"Mental and behavioural disorders"	"F01-F99"			282391	Not Applicable	Not Applicable
	"Diseases of the nervous system"	"G00-G98"	"Jan., 2019"	"2019/01"	20897	Not Applicable	Not Applicable
	"Diseases of the nervous system"	"G00-G98"	"Feb., 2019"	"2019/02"	18963	Not Applicable	Not Applicable
	"Diseases of the nervous system"	"G00-G98"	"Mar., 2019"	"2019/03"	20487	Not Applicable	Not Applicable
	"Diseases of the nervous system"	"G00-G98"	"Apr., 2019"	"2019/04"	18892	Not Applicable	Not Applicable
	"Diseases of the nervous system"	"G00-G98"	"May, 2019"	"2019/05"	18739	Not Applicable	Not Applicable
	"Diseases of the nervous system"	"G00-G98"	"Jun., 2019"	"2019/06"	17960	Not Applicable	Not Applicable
	"Diseases of the nervous system"	"G00-G98"	"Jul., 2019"	"2019/07"	18267	Not Applicable	Not Applicable
	"Diseases of the nervous system"	"G00-G98"	"Aug., 2019"	"2019/08"	18454	Not Applicable	Not Applicable
	"Diseases of the nervous system"	"G00-G98"	"Sep., 2019"	"2019/09"	18265	Not Applicable	Not Applicable
	"Diseases of the nervous system"	"G00-G98"	"Oct., 2019"	"2019/10"	20120	Not Applicable	Not Applicable
	"Diseases of the nervous system"	"G00-G98"	"Nov., 2019"	"2019/11"	20593	Not Applicable	Not Applicable
	"Diseases of the nervous system"	"G00-G98"	"Dec., 2019"	"2019/12"	22078	Not Applicable	Not Applicable
	"Diseases of the nervous system"	"G00-G98"	"Jan., 2020 "	"2020/01"	21755	Not Applicable	Not Applicable
	"Diseases of the nervous system"	"G00-G98"	"Feb., 2020 "	"2020/02"	20320	Not Applicable	Not Applicable
	"Diseases of the nervous system"	"G00-G98"	"Mar., 2020 "	"2020/03"	21966	Not Applicable	Not Applicable
	"Diseases of the nervous system"	"G00-G98"	"Apr., 2020 "	"2020/04"	22831	Not Applicable	Not Applicable
	"Diseases of the nervous system"	"G00-G98"	"May, 2020 "	"2020/05"	20702	Not Applicable	Not Applicable
	"Diseases of the nervous system"	"G00-G98"	"Jun., 2020 "	"2020/06"	19614	Not Applicable	Not Applicable
	"Diseases of the nervous system"	"G00-G98"	"Jul., 2020 "	"2020/07"	21442	Not Applicable	Not Applicable
	"Diseases of the nervous system"	"G00-G98"	"Aug., 2020 "	"2020/08"	21666	Not Applicable	Not Applicable
	"Diseases of the nervous system"	"G00-G98"	"Sep., 2020 "	"2020/09"	20923	Not Applicable	Not Applicable
	"Diseases of the nervous system"	"G00-G98"	"Oct., 2020 "	"2020/10"	22326	Not Applicable	Not Applicable
	"Diseases of the nervous system"	"G00-G98"	"Nov., 2020 "	"2020/11"	23032	Not Applicable	Not Applicable
	"Diseases of the nervous system"	"G00-G98"	"Dec., 2020 "	"2020/12"	25767	Not Applicable	Not Applicable
"Total"	"Diseases of the nervous system"	"G00-G98"			496059	Not Applicable	Not Applicable
	"Diseases of the eye and adnexa"	"H00-H57"	"Jul., 2019"	"2019/07"	12	Not Applicable	Not Applicable
"Total"	"Diseases of the eye and adnexa"	"H00-H57"			108	Not Applicable	Not Applicable
	"Diseases of the ear and mastoid process"	"H60-H93"	"Dec., 2019"	"2019/12"	11	Not Applicable	Not Applicable
	"Diseases of the ear and mastoid process"	"H60-H93"	"Jan., 2020 "	"2020/01"	10	Not Applicable	Not Applicable
	"Diseases of the ear and mastoid process"	"H60-H93"	"Feb., 2020 "	"2020/02"	10	Not Applicable	Not Applicable
	"Diseases of the ear and mastoid process"	"H60-H93"	"Apr., 2020 "	"2020/04"	13	Not Applicable	Not Applicable
	"Diseases of the ear and mastoid process"	"H60-H93"	"Nov., 2020 "	"2020/11"	10	Not Applicable	Not Applicable
"Total"	"Diseases of the ear and mastoid process"	"H60-H93"			176	Not Applicable	Not Applicable
	"Diseases of the circulatory system"	"I00-I99"	"Jan., 2019"	"2019/01"	80196	Not Applicable	Not Applicable
	"Diseases of the circulatory system"	"I00-I99"	"Feb., 2019"	"2019/02"	72391	Not Applicable	Not Applicable
	"Diseases of the circulatory system"	"I00-I99"	"Mar., 2019"	"2019/03"	79033	Not Applicable	Not Applicable
	"Diseases of the circulatory system"	"I00-I99"	"Apr., 2019"	"2019/04"	72627	Not Applicable	Not Applicable
	"Diseases of the circulatory system"	"I00-I99"	"May, 2019"	"2019/05"	72731	Not Applicable	Not Applicable
	"Diseases of the circulatory system"	"I00-I99"	"Jun., 2019"	"2019/06"	68381	Not Applicable	Not Applicable
	"Diseases of the circulatory system"	"I00-I99"	"Jul., 2019"	"2019/07"	69406	Not Applicable	Not Applicable
	"Diseases of the circulatory system"	"I00-I99"	"Aug., 2019"	"2019/08"	68304	Not Applicable	Not Applicable
	"Diseases of the circulatory system"	"I00-I99"	"Sep., 2019"	"2019/09"	66931	Not Applicable	Not Applicable
	"Diseases of the circulatory system"	"I00-I99"	"Oct., 2019"	"2019/10"	71902	Not Applicable	Not Applicable
	"Diseases of the circulatory system"	"I00-I99"	"Nov., 2019"	"2019/11"	73464	Not Applicable	Not Applicable
	"Diseases of the circulatory system"	"I00-I99"	"Dec., 2019"	"2019/12"	79247	Not Applicable	Not Applicable
	"Diseases of the circulatory system"	"I00-I99"	"Jan., 2020 "	"2020/01"	81030	Not Applicable	Not Applicable
	"Diseases of the circulatory system"	"I00-I99"	"Feb., 2020 "	"2020/02"	75127	Not Applicable	Not Applicable
	"Diseases of the circulatory system"	"I00-I99"	"Mar., 2020 "	"2020/03"	79696	Not Applicable	Not Applicable
	"Diseases of the circulatory system"	"I00-I99"	"Apr., 2020 "	"2020/04"	82035	Not Applicable	Not Applicable
	"Diseases of the circulatory system"	"I00-I99"	"May, 2020 "	"2020/05"	74941	Not Applicable	Not Applicable
	"Diseases of the circulatory system"	"I00-I99"	"Jun., 2020 "	"2020/06"	71180	Not Applicable	Not Applicable
	"Diseases of the circulatory system"	"I00-I99"	"Jul., 2020 "	"2020/07"	75879	Not Applicable	Not Applicable
	"Diseases of the circulatory system"	"I00-I99"	"Aug., 2020 "	"2020/08"	75044	Not Applicable	Not Applicable
	"Diseases of the circulatory system"	"I00-I99"	"Sep., 2020 "	"2020/09"	72164	Not Applicable	Not Applicable
	"Diseases of the circulatory system"	"I00-I99"	"Oct., 2020 "	"2020/10"	76303	Not Applicable	Not Applicable
	"Diseases of the circulatory system"	"I00-I99"	"Nov., 2020 "	"2020/11"	78008	Not Applicable	Not Applicable
	"Diseases of the circulatory system"	"I00-I99"	"Dec., 2020 "	"2020/12"	87334	Not Applicable	Not Applicable
"Total"	"Diseases of the circulatory system"	"I00-I99"			1803354	Not Applicable	Not Applicable
	"Diseases of the respiratory system"	"J00-J98"	"Jan., 2019"	"2019/01"	27089	Not Applicable	Not Applicable
	"Diseases of the respiratory system"	"J00-J98"	"Feb., 2019"	"2019/02"	24886	Not Applicable	Not Applicable
	"Diseases of the respiratory system"	"J00-J98"	"Mar., 2019"	"2019/03"	27481	Not Applicable	Not Applicable
	"Diseases of the respiratory system"	"J00-J98"	"Apr., 2019"	"2019/04"	23704	Not Applicable	Not Applicable
	"Diseases of the respiratory system"	"J00-J98"	"May, 2019"	"2019/05"	22519	Not Applicable	Not Applicable
	"Diseases of the respiratory system"	"J00-J98"	"Jun., 2019"	"2019/06"	20644	Not Applicable	Not Applicable
	"Diseases of the respiratory system"	"J00-J98"	"Jul., 2019"	"2019/07"	19908	Not Applicable	Not Applicable
	"Diseases of the respiratory system"	"J00-J98"	"Aug., 2019"	"2019/08"	19216	Not Applicable	Not Applicable
	"Diseases of the respiratory system"	"J00-J98"	"Sep., 2019"	"2019/09"	18951	Not Applicable	Not Applicable
	"Diseases of the respiratory system"	"J00-J98"	"Oct., 2019"	"2019/10"	20545	Not Applicable	Not Applicable
	"Diseases of the respiratory system"	"J00-J98"	"Nov., 2019"	"2019/11"	21106	Not Applicable	Not Applicable
	"Diseases of the respiratory system"	"J00-J98"	"Dec., 2019"	"2019/12"	24977	Not Applicable	Not Applicable
	"Diseases of the respiratory system"	"J00-J98"	"Jan., 2020 "	"2020/01"	28542	Not Applicable	Not Applicable
	"Diseases of the respiratory system"	"J00-J98"	"Feb., 2020 "	"2020/02"	26127	Not Applicable	Not Applicable
	"Diseases of the respiratory system"	"J00-J98"	"Mar., 2020 "	"2020/03"	29257	Not Applicable	Not Applicable
	"Diseases of the respiratory system"	"J00-J98"	"Apr., 2020 "	"2020/04"	25174	Not Applicable	Not Applicable
	"Diseases of the respiratory system"	"J00-J98"	"May, 2020 "	"2020/05"	20564	Not Applicable	Not Applicable
	"Diseases of the respiratory system"	"J00-J98"	"Jun., 2020 "	"2020/06"	18639	Not Applicable	Not Applicable
	"Diseases of the respiratory system"	"J00-J98"	"Jul., 2020 "	"2020/07"	19728	Not Applicable	Not Applicable
	"Diseases of the respiratory system"	"J00-J98"	"Aug., 2020 "	"2020/08"	19538	Not Applicable	Not Applicable
	"Diseases of the respiratory system"	"J00-J98"	"Sep., 2020 "	"2020/09"	18941	Not Applicable	Not Applicable
	"Diseases of the respiratory system"	"J00-J98"	"Oct., 2020 "	"2020/10"	20049	Not Applicable	Not Applicable
	"Diseases of the respiratory system"	"J00-J98"	"Nov., 2020 "	"2020/11"	20774	Not Applicable	Not Applicable
	"Diseases of the respiratory system"	"J00-J98"	"Dec., 2020 "	"2020/12"	23173	Not Applicable	Not Applicable
"Total"	"Diseases of the respiratory system"	"J00-J98"			541532	Not Applicable	Not Applicable
	"Diseases of the digestive system"	"K00-K92"	"Jan., 2019"	"2019/01"	9929	Not Applicable	Not Applicable
	"Diseases of the digestive system"	"K00-K92"	"Feb., 2019"	"2019/02"	8801	Not Applicable	Not Applicable
	"Diseases of the digestive system"	"K00-K92"	"Mar., 2019"	"2019/03"	9835	Not Applicable	Not Applicable
	"Diseases of the digestive system"	"K00-K92"	"Apr., 2019"	"2019/04"	9359	Not Applicable	Not Applicable
	"Diseases of the digestive system"	"K00-K92"	"May, 2019"	"2019/05"	9463	Not Applicable	Not Applicable
	"Diseases of the digestive system"	"K00-K92"	"Jun., 2019"	"2019/06"	8983	Not Applicable	Not Applicable
	"Diseases of the digestive system"	"K00-K92"	"Jul., 2019"	"2019/07"	9170	Not Applicable	Not Applicable
	"Diseases of the digestive system"	"K00-K92"	"Aug., 2019"	"2019/08"	9116	Not Applicable	Not Applicable
	"Diseases of the digestive system"	"K00-K92"	"Sep., 2019"	"2019/09"	9118	Not Applicable	Not Applicable
	"Diseases of the digestive system"	"K00-K92"	"Oct., 2019"	"2019/10"	9472	Not Applicable	Not Applicable
	"Diseases of the digestive system"	"K00-K92"	"Nov., 2019"	"2019/11"	9673	Not Applicable	Not Applicable
	"Diseases of the digestive system"	"K00-K92"	"Dec., 2019"	"2019/12"	9975	Not Applicable	Not Applicable
	"Diseases of the digestive system"	"K00-K92"	"Jan., 2020 "	"2020/01"	10442	Not Applicable	Not Applicable
	"Diseases of the digestive system"	"K00-K92"	"Feb., 2020 "	"2020/02"	9360	Not Applicable	Not Applicable
	"Diseases of the digestive system"	"K00-K92"	"Mar., 2020 "	"2020/03"	9917	Not Applicable	Not Applicable
	"Diseases of the digestive system"	"K00-K92"	"Apr., 2020 "	"2020/04"	9488	Not Applicable	Not Applicable
	"Diseases of the digestive system"	"K00-K92"	"May, 2020 "	"2020/05"	9789	Not Applicable	Not Applicable
	"Diseases of the digestive system"	"K00-K92"	"Jun., 2020 "	"2020/06"	9866	Not Applicable	Not Applicable
	"Diseases of the digestive system"	"K00-K92"	"Jul., 2020 "	"2020/07"	10486	Not Applicable	Not Applicable
	"Diseases of the digestive system"	"K00-K92"	"Aug., 2020 "	"2020/08"	10743	Not Applicable	Not Applicable
	"Diseases of the digestive system"	"K00-K92"	"Sep., 2020 "	"2020/09"	10349	Not Applicable	Not Applicable
	"Diseases of the digestive system"	"K00-K92"	"Oct., 2020 "	"2020/10"	11075	Not Applicable	Not Applicable
	"Diseases of the digestive system"	"K00-K92"	"Nov., 2020 "	"2020/11"	11028	Not Applicable	Not Applicable
	"Diseases of the digestive system"	"K00-K92"	"Dec., 2020 "	"2020/12"	11397	Not Applicable	Not Applicable
"Total"	"Diseases of the digestive system"	"K00-K92"			236834	Not Applicable	Not Applicable
	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	"Jan., 2019"	"2019/01"	493	Not Applicable	Not Applicable
