"X","Y","Unique Squirrel ID","Hectare","Shift","Date","Hectare Squirrel Number","Age","Primary Fur Color","Highlight Fur Color","Combination of Primary and Highlight Color","Color notes","Location","Above Ground Sighter Measurement","Specific Location","Running","Chasing","Climbing","Eating","Foraging","Other Activities","Kuks","Quaas","Moans","Tail flags","Tail twitches","Approaches","Indifferent","Runs from","Other Interactions","Lat/Long"
"-73.96431539204","40.7820818517","22F-PM-1014-05","22F","PM","10142018","5","Adult","Gray","Cinnamon","Gray+Cinnamon",,"Ground Plane","FALSE",,"false","false","false","false","false",,"false","false","false","false","false","false","false","false",,"POINT (-73.9643153920428 40.7820818516957)"
"-73.97420734529","40.77579573805","12B-AM-1007-01","12B","AM","10072018","1","Adult","Gray","Cinnamon","Gray+Cinnamon",,"Ground Plane","FALSE",,"false","true","false","false","false",,"false","false","false","true","false","false","true","false",,"POINT (-73.9742073452913 40.7757957380463)"
"-73.97161470616","40.78139110362","18A-PM-1018-01","18A","PM","10182018","1","Adult","Gray",,"Gray+",,"Above Ground","30",,"false","false","true","false","false",,"false","false","false","false","false","false","false","false",,"POINT (-73.9716147061553 40.7813911036179)"
"-73.95657003862","40.79025610009","33H-AM-1019-02","33H","AM","10192018","2","Juvenile","Gray","Cinnamon","Gray+Cinnamon",,"Ground Plane","FALSE",,"false","false","false","false","false","wrestling with mother","false","false","false","false","false","false","false","false",,"POINT (-73.9565700386162 40.7902561000937)"
"-73.95354106571","40.79287117601","36H-PM-1008-02","36H","PM","10082018","2","Adult","Gray",,"Gray+",,"Ground Plane","FALSE",,"false","false","false","false","true",,"false","false","false","false","false","false","true","false",,"POINT (-73.9535410657077 40.79287117600611)"
"-73.96391592984","40.7891774638","29C-AM-1007-06","29C","AM","10072018","6","Adult","Gray","Cinnamon","Gray+Cinnamon",,"Ground Plane","FALSE",,"true","false","false","false","false",,"false","false","false","false","false","false","false","true",,"POINT (-73.9639159298446 40.7891774637988)"
"-73.95795643386","40.7959337795","38C-PM-1014-09","38C","PM","10142018","9","Adult","Black",,"Black+",,"Ground Plane","FALSE",,"false","false","false","true","false",,"false","false","false","false","false","true","false","false",,"POINT (-73.9579564338627 40.7959337795027)"
"-73.95746480975","40.78925084286","31H-PM-1008-02","31H","PM","10082018","2","Juvenile","Gray","Cinnamon","Gray+Cinnamon",,"Above Ground","8",,"true","false","true","false","false",,"false","false","false","false","true","false","true","false",,"POINT (-73.9574648097543 40.78925084286221)"
"-73.97025267533","40.77059995882","8H-AM-1017-06","08H","AM","10172018","6","Adult","Gray","Cinnamon","Gray+Cinnamon",,"Above Ground","6",,"false","true","false","true","false",,"false","false","false","false","false","false","true","false",,"POINT (-73.970252675331 40.77059995882221)"
"-73.95796459404","40.79186134984","34F-AM-1007-01","34F","AM","10072018","1","Adult","Gray","White","Gray+White",,"Above Ground","25",,"true","false","true","false","false",,"false","false","false","false","false","false","false","true",,"POINT (-73.9579645940414 40.7918613498407)"
"-73.96732534173","40.7749505253","13H-PM-1010-02","13H","PM","10102018","2","Adult","Gray",,"Gray+",,"Above Ground","5","tree","false","false","false","false","true",,"false","false","false","false","false","false","true","false",,"POINT (-73.9673253417305 40.7749505252981)"
"-73.95959331954","40.79058473324","32E-AM-1007-13","32E","AM","10072018","13","Adult","Gray",,"Gray+",,"Above Ground","50",,"false","false","true","false","false",,"false","false","false","false","false","false","false","false",,"POINT (-73.9595933195409 40.7905847332369)"
"-73.96022221167","40.79377969942","35C-AM-1007-05","35C","AM","10072018","5","Adult","Gray",,"Gray+",,"Above Ground","4",,"false","false","true","false","false",,"false","false","false","false","false","false","false","false",,"POINT (-73.9602222116708 40.793779699421)"
"-73.96026099208","40.79428830456","35C-PM-1013-03","35C","PM","10132018","3",,"Gray","Cinnamon","Gray+Cinnamon",,"Ground Plane","FALSE",,"false","false","false","false","true",,"false","false","false","false","false","false","false","true",,"POINT (-73.9602609920814 40.79428830455661)"
"-73.96806350709","40.77924987365","17E-AM-1017-05","17E","AM","10172018","5","Adult","Black",,"Black+",,"Above Ground","10","Branch","false","false","false","false","true",,"false","false","false","false","false","false","true","false",,"POINT (-73.9680635070949 40.779249873647)"
"-73.98016664354","40.76869053392","2B-PM-1013-01","02B","PM","10132018","1","Adult","Gray","White","Gray+White",,"Ground Plane","FALSE",,"true","false","false","false","false","running (with nut)","false","false","false","false","false","false","false","false",,"POINT (-73.9801666435401 40.7686905339212)"
"-73.96756343269","40.78134773525","19D-AM-1007-01","19D","AM","10072018","1","Juvenile","Gray",,"Gray+",,"Ground Plane","FALSE",,"false","false","true","true","false",,"false","false","false","false","false","false","false","false","fenced off area can't approach","POINT (-73.9675634326877 40.7813477352507)"
"-73.95849706432","40.79828863487","40B-AM-1019-03","40B","AM","10192018","3","Juvenile","Gray","White","Gray+White",,"Ground Plane","FALSE",,"true","true","false","false","false",,"false","false","false","false","true","true","false","false",,"POINT (-73.9584970643213 40.7982886348696)"
"-73.97602982412","40.76819543669","3E-PM-1008-07","03E","PM","10082018","7","Adult","Gray","Cinnamon","Gray+Cinnamon",,"Ground Plane","FALSE",,"false","false","false","true","true",,"false","false","false","false","false","false","true","false",,"POINT (-73.9760298241178 40.7681954366911)"
"-73.95688021498","40.79723991338","39C-PM-1006-01","39C","PM","10062018","1","Adult","Gray",,"Gray+",,"Ground Plane","FALSE",,"true","false","false","false","true",,"false","false","false","false","false","false","true","false",,"POINT (-73.9568802149818 40.7972399133816)"
"-73.97246424364","40.76905264411","6G-AM-1008-02","06G","AM","10082018","2","Juvenile","Gray",,"Gray+",,"Ground Plane","FALSE","bush","false","false","false","false","true",,"false","false","false","false","false","false","true","false",,"POINT (-73.9724642436394 40.7690526441109)"
"-73.96901758385","40.776043272","14F-AM-1007-05","14F","AM","10072018","5","Juvenile","Gray","Cinnamon","Gray+Cinnamon",,"Ground Plane","FALSE",,"false","false","false","true","false",,"false","false","false","false","false","false","true","false",,"POINT (-73.9690175838534 40.7760432720017)"
"-73.97040828214","40.7690280986","6I-PM-1013-06","06I","PM","10132018","6","Adult","Gray","Cinnamon","Gray+Cinnamon",,"Ground Plane","FALSE",,"false","false","false","false","false","playing with #5","false","false","false","false","true","false","false","false",,"POINT (-73.9704082821356 40.7690280985956)"
"-73.96849107123","40.776881164","15F-PM-1010-05","15F","PM","10102018","5","Adult","Gray",,"Gray+",,"Ground Plane","FALSE",,"false","false","false","false","true",,"false","false","false","false","false","false","true","false",,"POINT (-73.9684910712272 40.7768811640021)"
"-73.97686748129","40.77352326489","8B-PM-1012-02","08B","PM","10122018","2","Adult","Gray","Cinnamon, White","Gray+Cinnamon, White",,"Ground Plane","FALSE","hiding in bushes","false","false","false","false","true",,"false","false","false","false","false","false","false","true",,"POINT (-73.9768674812942 40.7735232648872)"
"-73.97970848666","40.76988852413","3A-PM-1017-06","03A","PM","10172018","6","Adult","Gray","Cinnamon","Gray+Cinnamon",,"Ground Plane","FALSE",,"false","false","false","false","true",,"false","false","false","false","false","false","false","true",,"POINT (-73.9797084866613 40.7698885241349)"
"-73.95281926798","40.79231304028","36I-AM-1017-02","36I","AM","10172018","2","Adult","Gray","Cinnamon","Gray+Cinnamon","Cinnamon stripe on back","Ground Plane","FALSE",,"false","false","false","false","true",,"false","false","false","false","false","false","true","false",,"POINT (-73.952819267977 40.7923130402793)"
"-73.97456300385","40.76926026287","5E-AM-1008-06","05E","AM","10082018","6","Adult","Cinnamon","White","Cinnamon+White",,"Ground Plane","FALSE",,"true","false","false","false","false",,"false","false","false","false","false","true","false","false",,"POINT (-73.9745630038492 40.7692602628745)"
"-73.95950023395","40.79033657887","32E-PM-1017-13","32E","PM","10172018","13","Adult","Gray",,"Gray+","Nothing selected as Primary. Gray selected as Highlights. Made executive adjustments.",,,,"false","false","false","true","true",,"false","false","false","false","false","false","true","false",,"POINT (-73.9595002339508 40.7903365788694)"
"-73.97418249923","40.7689486658","5F-PM-1007-03","05F","PM","10072018","3","Adult","Gray","Cinnamon","Gray+Cinnamon",,"Ground Plane","FALSE",,"false","false","false","false","false","hiding nut","false","false","false","false","true","false","true","false",,"POINT (-73.9741824992294 40.7689486657963)"
"-73.97492439012","40.77613935518","11B-PM-1014-05","11B","PM","10142018","5","Adult","Gray",,"Gray+",,"Ground Plane","FALSE",,"false","false","false","false","true",,"false","false","false","false","false","false","true","false",,"POINT (-73.9749243901189 40.7761393551781)"
"-73.96838132556","40.77801434438","16E-PM-1018-06","16E","PM","10182018","6","Adult","Cinnamon","Gray","Cinnamon+Gray",,"Ground Plane","FALSE","On a rock","false","false","false","false","true",,"false","false","false","false","true","false","true","false",,"POINT (-73.968381325559 40.7780143443779)"
"-73.96942403275","40.77558981267","13F-AM-1007-02","13F","AM","10072018","2","Adult","Cinnamon","White","Cinnamon+White",,,,,"false","false","false","true","true",,"false","false","false","false","false","false","true","false",,"POINT (-73.96942403275091 40.7755898126674)"
"-73.9689000979","40.78283647352","20B-PM-1013-10","20B","PM","10132018","10","Adult","Gray","White","Gray+White",,"Ground Plane","FALSE",,"false","false","false","false","true","drank from a pond of rain water","false","false","false","false","false","false","true","false",,"POINT (-73.9689000978955 40.7828364735236)"
"-73.98045288675","40.7696753656","3A-PM-1017-05","03A","PM","10172018","5","Adult","Gray","Cinnamon","Gray+Cinnamon",,"Ground Plane","FALSE",,"false","false","false","false","true",,"false","false","false","false","false","false","false","false",,"POINT (-73.9804528867547 40.76967536559861)"
"-73.95762459925","40.787386251","29H-PM-1006-01","29H","PM","10062018","1","Adult","Gray",,"Gray+",,"Above Ground","50",,"false","false","true","false","false","sitting","false","false","false","false","false","false","true","false",,"POINT (-73.9576245992455 40.7873862510001)"
"-73.96660079356","40.78450981316","23C-PM-1014-03","23C","PM","10142018","3","Adult","Gray",,"Gray+",,"Above Ground","8",,"false","true","false","false","false","chasing (#4 across trees)","false","false","false","false","false","false","false","false",,"POINT (-73.9666007935638 40.7845098131567)"
"-73.96148483609","40.79226455219","33C-PM-1007-03","33C","PM","10072018","3","Adult","Gray","White","Gray+White",,"Ground Plane","FALSE",,"false","false","false","false","true",,"false","false","false","false","true","false","true","false",,"POINT (-73.96148483609 40.7922645521905)"
"-73.95466541841","40.79476392415","38G-PM-1020-09","38G","PM","10202018","9","Adult","Gray","Cinnamon, White","Gray+Cinnamon, White",,"Ground Plane","FALSE",,"false","false","false","true","true",,"false","false","false","true","false","false","true","false",,"POINT (-73.9546654184146 40.7947639241491)"
"-73.96671140272","40.77688047025","16G-PM-1017-01","16G","PM","10172018","1","Adult","Gray","Cinnamon, White","Gray+Cinnamon, White",,"Ground Plane","FALSE",,"false","false","false","false","true",,"false","false","false","false","false","false","true","false",,"POINT (-73.9667114027214 40.7768804702473)"
"-73.95300355646","40.79218224576","36I-PM-1007-07","36I","PM","10072018","7","Adult","Gray",,"Gray+",,"Ground Plane","FALSE",,"false","false","false","false","true",,"false","false","false","false","false","false","true","false",,"POINT (-73.9530035564643 40.7921822457613)"
"-73.96156965777","40.79512786224","35A-AM-1014-03","35A","AM","10142018","3","Adult","Gray","White","Gray+White",,"Ground Plane","FALSE",,"false","false","false","false","true",,"false","false","false","false","false","false","true","false",,"POINT (-73.9615696577673 40.7951278622399)"
"-73.964474836","40.78838401047","28C-PM-1006-01","28C","PM","10062018","1","Adult","Gray","Cinnamon","Gray+Cinnamon",,"Ground Plane","FALSE",,"false","false","false","false","false","gathering acorns","false","false","false","true","false","false","false","true","gnd to tree","POINT (-73.964474836001 40.7883840104749)"
"-73.96107055929","40.79148296611","32D-AM-1013-06","32D","AM","10132018","6","Adult","Cinnamon",,"Cinnamon+",,"Ground Plane","FALSE",,"true","false","false","true","true","eating (a mushroom),circles around us,really fat,scratching himself,grooming activity","false","false","false","false","true","true","false","false",,"POINT (-73.9610705592868 40.7914829661051)"
"-73.96884544836","40.78453012882","22A-AM-1008-05","22A","AM","10082018","5","Adult","Gray","White","Gray+White",,"Above Ground","3","trash can","false","false","false","true","false",,"false","false","false","true","false","false","false","true",,"POINT (-73.9688454483585 40.7845301288163)"
"-73.95782371684","40.7980959471","40B-PM-1014-06","40B","PM","10142018","6","Adult","Gray","Cinnamon","Gray+Cinnamon",,"Ground Plane","FALSE",,"true","false","false","false","false",,"false","false","false","false","false","false","true","false",,"POINT (-73.9578237168359 40.7980959471034)"
"-73.96882712024","40.78097194453","19C-PM-1018-01","19C","PM","10182018","1","Adult","Gray","White","Gray+White",,"Ground Plane","FALSE",,"true","true","false","true","false",,"false","false","false","false","true","false","true","false",,"POINT (-73.9688271202401 40.7809719445309)"
"-73.96170887499","40.79445850824","35A-PM-1013-06","35A","PM","10132018","6","Adult","Cinnamon",,"Cinnamon+",,"Ground Plane","FALSE",,"true","false","false","false","false",,"false","false","false","false","false","false","false","true",,"POINT (-73.9617088749928 40.7944585082367)"
"-73.97018248259","40.77665305793","14E-AM-1008-09","14E","AM","10082018","9","Adult","Gray",,"Gray+",,"Ground Plane","FALSE",,"true","true","false","false","false",,"true","false","false","false","false","false","false","true",,"POINT (-73.9701824825872 40.7766530579293)"
"-73.96764104975","40.7766043513","15G-PM-1019-05","15G","PM","10192018","5","Adult","Gray","Cinnamon","Gray+Cinnamon",,"Above Ground","4",,"false","false","true","false","false",,"false","false","false","false","false","false","false","false",,"POINT (-73.9676410497481 40.7766043512974)"
"-73.97087260507","40.77235720302","10F-AM-1007-02","10F","AM","10072018","2","Adult","Gray",,"Gray+",,"Above Ground","70",,"false","false","true","false","false",,"false","false","false","false","false","false","false","false",,"POINT (-73.9708726050721 40.7723572030236)"
"-73.95414534658","40.79821622238","42E-PM-1012-06","42E","PM","10122018","6","Adult","Cinnamon","Gray, White","Cinnamon+Gray, White",,"Ground Plane","FALSE",,"true","false","false","false","true",,"false","false","false","false","false","false","false","true",,"POINT (-73.9541453465817 40.79821622237641)"
"-73.9683608296","40.78429274053","22B-AM-1013-04","22B","AM","10132018","4","Adult","Cinnamon",,"Cinnamon+",,"Ground Plane","FALSE","Under bench","false","false","false","false","true",,"false","false","false","false","false","false","false","true","ran from dog-walker","POINT (-73.9683608295976 40.7842927405327)"
"-73.96805205799","40.77733866653","15F-PM-1010-06","15F","PM","10102018","6","Adult","Gray",,"Gray+",,"Ground Plane","FALSE",,"false","false","false","false","true",,"false","false","false","false","false","false","true","false",,"POINT (-73.968052057989 40.777338666528)"
"-73.97871808707","40.77158778633","5A-AM-1006-05","05A","AM","10062018","5","Adult","Gray","Cinnamon","Gray+Cinnamon",,"Ground Plane","FALSE","near 65th St arch","false","false","false","false","true",,"false","false","false","true","false","false","false","true",,"POINT (-73.9787180870736 40.7715877863274)"
"-73.95659058683","40.78956540685","32H-PM-1006-01","32H","PM","10062018","1",,"Gray",,"Gray+",,"Above Ground",,"in the European Beech","false","false","true","false","false",,"false","false","false","false","false","false","false","false",,"POINT (-73.9565905868276 40.7895654068546)"
"-73.95657597336","40.79924616748","42C-AM-1007-02","42C","AM","10072018","2",,,,"+",,,,,"false","false","false","false","false",,"false","true","false","false","false","false","false","false",,"POINT (-73.9565759733611 40.7992461674802)"
"-73.95515394983","40.79873846563","41D-AM-1014-01","41D","AM","10142018","1","Adult","Gray","Black","Gray+Black",,"Ground Plane","FALSE",,"false","false","false","false","true","digging","false","false","false","false","false","false","true","false",,"POINT (-73.9551539498306 40.7987384656256)"
"-73.9641971814","40.78135379594","21G-PM-1007-01","21G","PM","10072018","1","Adult","Gray","Cinnamon","Gray+Cinnamon",,"Ground Plane","FALSE",,"false","false","false","true","false",,"false","false","false","true","false","false","true","false",,"POINT (-73.9641971813967 40.7813537959435)"
"-73.96928839709","40.77685537031","14E-AM-1008-02","14E","AM","10082018","2","Adult","Gray",,"Gray+",,"Ground Plane","FALSE",,"true","false","false","false","true","walking","false","false","false","false","false","false","false","true",,"POINT (-73.9692883970928 40.7768553703082)"
"-73.97085496708","40.76995870191","7H-PM-1006-04","07H","PM","10062018","4","Adult","Gray",,"Gray+",,"Above Ground","12","on tree knob","false","false","false","false","false","sitting","false","false","false","false","false","false","true","false",,"POINT (-73.9708549670788 40.7699587019058)"
"-73.96397440056","40.78251119508","22F-AM-1007-01","22F","AM","10072018","1","Adult","Gray","Cinnamon","Gray+Cinnamon",,"Ground Plane","FALSE",,"false","false","true","false","true",,"false","false","false","false","false","false","true","false",,"POINT (-73.9639744005647 40.7825111950764)"
"-73.97302779114","40.77121454888","7F-AM-1008-16","07F","AM","10082018","16","Juvenile","Gray",,"Gray+",,"Above Ground","2","tree","false","false","false","false","false",,"false","false","false","false","false","false","false","true",,"POINT (-73.9730277911422 40.7712145488828)"
"-73.97105414057","40.77246916057","10F-PM-1019-05","10F","PM","10192018","5","Adult","Black",,"Black+",,"Above Ground","10","Behind fence, tree","false","false","true","false","false",,"false","false","false","false","false","false","true","false",,"POINT (-73.9710541405708 40.7724691605718)"
"-73.97615925325","40.77472135854","10A-AM-1006-04","10A","AM","10062018","4","Juvenile","Gray",,"Gray+",,"Above Ground","10","tree near large rock on Bridle Path","false","false","false","false","false","walking on branch","false","false","false","false","true","false","false","false",,"POINT (-73.9761592532482 40.7747213585387)"
"-73.95440076587","40.79506897231","38F-PM-1013-05","38F","PM","10132018","5","Juvenile","Gray","Cinnamon","Gray+Cinnamon",,"Ground Plane","FALSE",,"false","false","false","false","true","being chased,was pushed by other squirrel","true","true","false","false","false","false","false","false",,"POINT (-73.9544007658685 40.7950689723135)"
"-73.95759861614","40.79936813497","41B-PM-1014-01","41B","PM","10142018","1","Adult","Gray","White","Gray+White",,"Above Ground","25","Climbing tree","false","false","true","false","false","climbing (tree)","false","false","false","false","false","false","false","true",,"POINT (-73.9575986161364 40.799368134968)"
"-73.96077013704","40.79554189909","36A-PM-1013-07","36A","PM","10132018","7",,"Gray",,"Gray+",,"Ground Plane","FALSE","""FIELD""","false","true","false","false","false","chasing #8","false","false","false","false","false","false","false","true",,"POINT (-73.9607701370443 40.7955418990855)"
"-73.9764036523","40.77058461851","5C-AM-1006-05","05C","AM","10062018","5","Adult","Gray","Cinnamon, White","Gray+Cinnamon, White",,"Ground Plane","FALSE",,"false","false","false","false","true",,"false","false","false","false","false","false","true","false",,"POINT (-73.9764036522984 40.7705846185121)"
"-73.95892495552","40.7908193285","32E-PM-1017-03","32E","PM","10172018","3","Adult","Gray",,"Gray+",,"Above Ground","2","bottom of tree","false","false","false","true","false","still","false","false","false","false","false","false","true","false",,"POINT (-73.9589249555235 40.7908193284981)"
"-73.96346234188","40.79176854045","31A-PM-1017-04","31A","PM","10172018","4","Adult","Gray","White","Gray+White",,"Ground Plane","FALSE",,"false","false","false","true","true",,"false","false","false","false","false","false","false","false",,"POINT (-73.9634623418761 40.7917685404482)"
"-73.95211101549","40.79784491433","42G-AM-1018-03","42G","AM","10182018","3","Adult","Gray","Cinnamon","Gray+Cinnamon",,"Ground Plane","FALSE",,"true","false","false","false","false","stop to look at me—then ran","false","false","false","false","false","false","false","true",,"POINT (-73.9521110154872 40.7978449143313)"
"-73.95748090282","40.79500136202","37D-PM-1014-04","37D","PM","10142018","4","Adult","Gray",,"Gray+",,"Ground Plane","FALSE",,"false","true","false","false","true","chasing (a chipmunk)","false","false","false","false","false","false","false","true",,"POINT (-73.9574809028248 40.7950013620207)"
"-73.95704377177","40.7948509408","37E-PM-1006-03","37E","PM","10062018","3","Adult","Gray","Cinnamon","Gray+Cinnamon",,"Ground Plane","FALSE",,"true","false","false","false","false",,"false","false","false","false","false","false","false","true","me","POINT (-73.9570437717691 40.794850940803904)"
