User_ID,Age,Gender,Daily_Screen_Time(hrs),Sleep_Quality(1-10),Stress_Level(1-10),Days_Without_Social_Media,Exercise_Frequency(week),Social_Media_Platform,Happiness_Index(1-10)
U148,48,Male,4.6,7.0,5.0,2.0,3.0,TikTok,10.0
U149,16,Female,5.3,7.0,6.0,3.0,2.0,Facebook,10.0
U150,34,Female,1.8,9.0,7.0,3.0,3.0,LinkedIn,10.0
U151,17,Female,6.8,5.0,8.0,6.0,0.0,X (Twitter),6.0
U152,41,Female,7.4,4.0,9.0,6.0,3.0,YouTube,5.0
U153,47,Female,2.4,7.0,7.0,5.0,6.0,LinkedIn,9.0
U154,21,Male,4.8,5.0,7.0,1.0,2.0,Instagram,8.0
U155,47,Female,3.3,8.0,5.0,4.0,4.0,YouTube,10.0
U156,19,Female,5.2,7.0,5.0,4.0,4.0,LinkedIn,10.0
U157,26,Female,6.7,5.0,7.0,2.0,4.0,Instagram,8.0
U158,32,Male,7.3,5.0,7.0,1.0,3.0,YouTube,8.0
U159,39,Male,7.5,5.0,6.0,6.0,3.0,Instagram,7.0
U160,20,Male,7.9,5.0,9.0,2.0,4.0,Instagram,5.0
U161,49,Male,5.1,5.0,7.0,6.0,3.0,YouTube,8.0
U162,21,Female,3.4,9.0,7.0,5.0,1.0,YouTube,8.0
U163,37,Female,5.3,7.0,6.0,4.0,0.0,Instagram,10.0
U164,26,Male,6.6,6.0,8.0,4.0,0.0,Facebook,8.0
U165,31,Other,3.3,9.0,5.0,0.0,2.0,YouTube,10.0
U166,48,Female,8.5,4.0,10.0,3.0,3.0,LinkedIn,8.0
U167,24,Male,7.1,6.0,8.0,6.0,1.0,TikTok,7.0
U168,21,Male,5.1,6.0,5.0,4.0,4.0,X (Twitter),10.0
U169,31,Male,4.2,8.0,6.0,3.0,2.0,Instagram,10.0
U170,44,Male,4.3,8.0,6.0,6.0,2.0,Instagram,10.0
U171,18,Male,5.6,5.0,7.0,3.0,1.0,X (Twitter),6.0
U172,35,Male,5.1,7.0,7.0,2.0,0.0,Facebook,7.0
U173,34,Male,7.2,6.0,6.0,3.0,3.0,X (Twitter),8.0
U174,41,Male,4.9,7.0,5.0,5.0,5.0,YouTube,10.0
U175,18,Female,6.4,6.0,8.0,0.0,2.0,X (Twitter),8.0
U176,34,Male,5.4,6.0,6.0,4.0,0.0,Instagram,10.0
U177,35,Female,6.0,7.0,7.0,5.0,4.0,X (Twitter),8.0
U178,47,Male,5.1,7.0,4.0,2.0,0.0,TikTok,9.0
U179,22,Other,6.8,5.0,10.0,5.0,1.0,LinkedIn,7.0
U180,48,Male,6.8,4.0,7.0,4.0,2.0,YouTube,7.0
U181,33,Male,6.3,6.0,8.0,7.0,3.0,X (Twitter),6.0
U182,16,Other,6.6,6.0,7.0,1.0,1.0,Instagram,8.0
U183,26,Female,3.8,10.0,6.0,5.0,2.0,LinkedIn,10.0
U184,43,Female,6.1,7.0,9.0,1.0,4.0,YouTube,7.0
U185,40,Male,7.7,3.0,9.0,0.0,4.0,Instagram,5.0
U186,38,Male,6.4,6.0,7.0,0.0,4.0,Facebook,8.0
U187,46,Female,3.6,9.0,5.0,4.0,5.0,TikTok,10.0
U188,45,Female,5.4,7.0,8.0,3.0,4.0,Facebook,7.0
U189,22,Female,6.2,6.0,9.0,2.0,2.0,TikTok,6.0
U190,31,Female,4.1,8.0,6.0,0.0,4.0,X (Twitter),10.0
U191,41,Male,3.1,7.0,7.0,2.0,3.0,YouTube,9.0
U192,17,Female,4.9,7.0,6.0,3.0,3.0,X (Twitter),10.0
U193,16,Male,4.2,7.0,7.0,5.0,3.0,TikTok,8.0
U194,27,Male,5.5,6.0,8.0,3.0,1.0,TikTok,7.0
U195,20,Male,2.6,9.0,4.0,4.0,1.0,TikTok,10.0
U196,47,Female,6.5,5.0,7.0,2.0,2.0,LinkedIn,8.0
U197,24,Male,4.4,8.0,7.0,6.0,3.0,Instagram,10.0
U198,34,Male,7.3,5.0,7.0,1.0,1.0,YouTube,6.0
U199,31,Female,5.0,7.0,5.0,2.0,3.0,X (Twitter),10.0
U200,18,Male,5.5,5.0,6.0,2.0,6.0,X (Twitter),9.0
U201,35,Female,5.2,7.0,6.0,4.0,0.0,Facebook,10.0
U202,39,Male,4.3,9.0,7.0,1.0,3.0,TikTok,9.0
U203,48,Female,10.0,3.0,10.0,3.0,2.0,TikTok,4.0
U204,39,Female,4.6,6.0,7.0,3.0,3.0,TikTok,6.0
U205,26,Male,7.3,5.0,8.0,2.0,2.0,X (Twitter),7.0
U206,23,Male,3.5,9.0,5.0,4.0,2.0,Facebook,10.0
U207,35,Male,6.2,4.0,8.0,1.0,3.0,Instagram,7.0
U208,40,Male,6.4,5.0,8.0,1.0,2.0,LinkedIn,7.0
U209,40,Other,5.5,6.0,7.0,3.0,0.0,YouTube,9.0
U210,44,Male,4.5,6.0,6.0,0.0,2.0,Instagram,9.0
U211,33,Female,5.0,6.0,6.0,0.0,0.0,X (Twitter),8.0
U212,33,Male,4.8,5.0,6.0,4.0,3.0,LinkedIn,9.0
U213,17,Female,9.8,4.0,9.0,5.0,0.0,LinkedIn,6.0
U214,31,Female,5.5,7.0,7.0,2.0,4.0,LinkedIn,9.0
U215,48,Female,6.4,4.0,6.0,2.0,3.0,TikTok,7.0
U216,19,Female,8.7,6.0,7.0,5.0,3.0,YouTube,10.0
U217,48,Male,3.9,9.0,5.0,1.0,0.0,X (Twitter),10.0
U218,29,Male,5.6,6.0,6.0,0.0,2.0,X (Twitter),8.0
U219,36,Female,5.0,8.0,6.0,4.0,4.0,LinkedIn,10.0
U220,35,Female,5.3,6.0,6.0,3.0,2.0,X (Twitter),9.0
U221,23,Other,5.2,7.0,6.0,5.0,1.0,YouTube,9.0
U222,22,Male,4.2,6.0,6.0,0.0,2.0,YouTube,8.0
U223,18,Female,5.9,8.0,6.0,0.0,2.0,Facebook,8.0
U224,32,Female,3.6,7.0,5.0,3.0,1.0,Facebook,10.0
U225,48,Male,7.3,5.0,9.0,4.0,4.0,Instagram,5.0
U226,27,Male,6.6,5.0,7.0,5.0,2.0,YouTube,7.0
U227,37,Female,4.6,9.0,6.0,3.0,2.0,YouTube,8.0
U228,37,Female,4.7,9.0,6.0,3.0,1.0,YouTube,10.0
U229,45,Female,6.0,8.0,7.0,2.0,3.0,Facebook,9.0
U230,23,Male,4.1,8.0,5.0,6.0,3.0,LinkedIn,10.0
U231,42,Female,8.8,4.0,8.0,1.0,1.0,LinkedIn,6.0
U232,42,Male,6.1,7.0,6.0,4.0,0.0,X (Twitter),8.0
U233,49,Male,6.2,6.0,8.0,1.0,3.0,LinkedIn,8.0
U234,36,Male,6.7,7.0,7.0,4.0,2.0,TikTok,8.0
U235,45,Female,4.5,8.0,6.0,1.0,3.0,Facebook,10.0
U236,48,Female,7.5,4.0,9.0,4.0,5.0,YouTube,5.0
U237,43,Female,5.7,7.0,7.0,3.0,2.0,LinkedIn,9.0
U238,48,Male,7.2,6.0,8.0,6.0,2.0,Facebook,9.0
U239,20,Female,5.1,4.0,5.0,2.0,1.0,LinkedIn,9.0
U240,34,Male,7.9,6.0,8.0,4.0,2.0,Instagram,7.0
U241,19,Female,6.2,5.0,7.0,1.0,3.0,YouTube,8.0
U242,32,Male,9.4,3.0,9.0,2.0,3.0,Instagram,5.0
U243,43,Male,4.8,6.0,5.0,3.0,5.0,YouTube,10.0
U244,45,Male,5.9,6.0,8.0,0.0,3.0,Facebook,7.0
U245,44,Male,3.6,8.0,5.0,0.0,2.0,X (Twitter),10.0
U246,21,Female,4.5,6.0,6.0,4.0,1.0,LinkedIn,9.0
U247,39,Female,6.6,6.0,7.0,3.0,3.0,LinkedIn,7.0
U248,44,Male,7.5,6.0,9.0,2.0,1.0,TikTok,6.0
U249,46,Female,10.8,5.0,10.0,2.0,3.0,Instagram,4.0
U250,48,Male,5.3,5.0,5.0,2.0,3.0,LinkedIn,8.0
U251,36,Female,3.8,7.0,5.0,3.0,2.0,Facebook,9.0
U252,47,Female,6.9,6.0,8.0,4.0,2.0,X (Twitter),8.0
U253,38,Female,3.5,9.0,4.0,0.0,0.0,Facebook,10.0
U254,48,Male,6.5,5.0,8.0,6.0,4.0,Instagram,8.0
U255,18,Female,4.6,8.0,7.0,6.0,3.0,TikTok,9.0
U256,33,Female,5.9,4.0,7.0,0.0,3.0,LinkedIn,5.0
U257,40,Male,7.5,4.0,8.0,5.0,0.0,Facebook,7.0
U258,46,Male,5.3,7.0,8.0,5.0,5.0,YouTube,9.0
U259,18,Female,7.2,4.0,7.0,3.0,2.0,X (Twitter),6.0
U260,39,Female,7.1,4.0,8.0,0.0,2.0,Facebook,7.0
U261,47,Female,2.1,8.0,4.0,5.0,1.0,X (Twitter),10.0
U262,37,Female,3.9,8.0,6.0,3.0,0.0,LinkedIn,10.0
U263,38,Female,2.7,6.0,3.0,4.0,4.0,YouTube,10.0
U264,17,Male,9.1,4.0,9.0,7.0,4.0,TikTok,4.0
U265,42,Male,5.3,7.0,7.0,4.0,2.0,TikTok,8.0
U266,17,Male,8.7,4.0,8.0,1.0,1.0,YouTube,7.0
U267,41,Female,2.6,8.0,4.0,2.0,2.0,X (Twitter),10.0
U268,32,Male,4.5,7.0,6.0,1.0,2.0,LinkedIn,8.0
U269,48,Female,6.9,5.0,9.0,4.0,1.0,Facebook,6.0
U270,24,Female,5.8,8.0,6.0,1.0,2.0,YouTube,10.0
U271,44,Female,6.5,5.0,6.0,2.0,3.0,Instagram,8.0
U272,41,Male,3.2,8.0,6.0,0.0,4.0,X (Twitter),10.0
U273,40,Female,8.0,5.0,8.0,3.0,3.0,TikTok,6.0
U274,39,Male,6.9,5.0,7.0,3.0,0.0,YouTube,9.0
U275,28,Female,6.2,3.0,8.0,0.0,3.0,TikTok,5.0
U276,22,Male,4.3,7.0,5.0,4.0,2.0,X (Twitter),10.0
U277,35,Male,6.1,7.0,8.0,3.0,5.0,TikTok,9.0
U278,16,Female,5.0,7.0,6.0,1.0,5.0,YouTube,10.0
U279,23,Male,2.5,9.0,5.0,7.0,5.0,X (Twitter),10.0
U280,31,Male,5.4,5.0,8.0,5.0,2.0,Instagram,7.0
U281,29,Female,5.2,7.0,6.0,1.0,5.0,YouTube,10.0
U282,27,Female,7.4,4.0,9.0,5.0,3.0,Facebook,5.0
U283,38,Female,1.5,9.0,4.0,5.0,5.0,LinkedIn,10.0
U284,30,Female,5.9,6.0,9.0,3.0,2.0,YouTube,7.0
U285,43,Female,3.4,7.0,7.0,4.0,2.0,X (Twitter),10.0
U286,49,Male,6.1,5.0,6.0,4.0,3.0,LinkedIn,9.0
U287,17,Male,6.2,6.0,8.0,0.0,3.0,YouTube,7.0
U288,47,Male,5.3,6.0,6.0,3.0,4.0,Instagram,9.0
U289,38,Female,7.0,4.0,8.0,3.0,2.0,Instagram,6.0
U290,37,Female,3.3,7.0,5.0,6.0,4.0,Facebook,9.0
U291,40,Male,7.5,5.0,7.0,4.0,4.0,TikTok,9.0
U292,37,Male,4.2,9.0,7.0,2.0,2.0,LinkedIn,8.0
U293,37,Other,2.7,8.0,5.0,3.0,3.0,X (Twitter),10.0
U294,21,Male,5.0,7.0,6.0,5.0,2.0,X (Twitter),10.0
U295,30,Female,1.7,9.0,4.0,3.0,6.0,TikTok,10.0
U296,48,Female,6.0,5.0,7.0,2.0,0.0,Instagram,7.0
U297,23,Female,5.0,5.0,7.0,2.0,4.0,Instagram,8.0
U298,20,Male,7.7,4.0,8.0,5.0,0.0,YouTube,5.0
U299,19,Female,6.7,6.0,5.0,4.0,2.0,Facebook,9.0
U300,21,Female,3.0,8.0,5.0,3.0,2.0,LinkedIn,10.0
U301,47,Female,4.0,8.0,4.0,3.0,5.0,Facebook,10.0
U302,45,Female,6.4,6.0,7.0,2.0,1.0,Facebook,7.0
U303,31,Female,7.0,5.0,6.0,3.0,4.0,YouTube,8.0
U304,28,Female,7.7,4.0,7.0,2.0,1.0,Facebook,7.0
U305,45,Male,7.7,6.0,9.0,2.0,5.0,TikTok,6.0
U306,34,Female,5.3,6.0,6.0,6.0,2.0,YouTube,10.0
U307,32,Female,6.2,5.0,7.0,1.0,3.0,TikTok,7.0
U308,34,Male,7.8,5.0,9.0,2.0,2.0,YouTube,6.0
U309,43,Female,5.0,5.0,6.0,0.0,4.0,Facebook,8.0
U310,41,Female,6.2,8.0,9.0,0.0,4.0,TikTok,7.0
U311,41,Female,4.9,7.0,6.0,3.0,3.0,TikTok,9.0
U312,38,Male,4.5,7.0,6.0,2.0,1.0,TikTok,9.0
U313,24,Male,5.6,5.0,8.0,7.0,1.0,YouTube,7.0
U314,27,Other,4.3,7.0,7.0,2.0,1.0,X (Twitter),8.0
U315,16,Female,5.3,6.0,6.0,6.0,0.0,Facebook,9.0
U316,16,Male,3.6,7.0,5.0,5.0,4.0,TikTok,10.0
U317,49,Female,5.2,7.0,8.0,3.0,2.0,LinkedIn,8.0
U318,47,Female,6.3,5.0,8.0,7.0,2.0,X (Twitter),8.0
U319,40,Female,4.4,8.0,7.0,4.0,5.0,LinkedIn,8.0
U320,16,Female,5.5,9.0,5.0,6.0,2.0,Facebook,10.0
U321,31,Male,5.8,6.0,8.0,6.0,1.0,Facebook,7.0
U322,20,Male,6.3,6.0,6.0,4.0,2.0,TikTok,8.0
U323,37,Male,5.3,7.0,7.0,5.0,1.0,TikTok,8.0
U324,44,Female,7.5,7.0,8.0,4.0,3.0,YouTube,9.0
U325,18,Male,1.7,9.0,3.0,1.0,2.0,X (Twitter),10.0
U326,27,Male,10.8,2.0,9.0,3.0,2.0,X (Twitter),5.0
U327,41,Male,3.9,6.0,4.0,5.0,2.0,TikTok,9.0
U328,31,Female,6.2,6.0,7.0,6.0,2.0,Facebook,8.0
U329,37,Female,3.8,7.0,4.0,2.0,3.0,TikTok,10.0
U330,44,Male,6.7,8.0,6.0,4.0,2.0,Facebook,10.0
U331,29,Male,6.0,8.0,7.0,3.0,2.0,Facebook,7.0
U332,43,Female,4.3,6.0,3.0,3.0,2.0,TikTok,10.0
U333,20,Male,7.4,4.0,9.0,4.0,2.0,Instagram,6.0
U334,45,Male,5.2,7.0,4.0,3.0,3.0,X (Twitter),10.0
U335,20,Male,6.5,7.0,7.0,4.0,1.0,LinkedIn,7.0
U336,27,Male,3.8,8.0,6.0,6.0,4.0,Facebook,10.0
U337,31,Male,5.4,6.0,7.0,5.0,3.0,Facebook,8.0
U338,41,Female,9.1,4.0,9.0,4.0,2.0,Instagram,7.0
U339,41,Male,7.2,5.0,10.0,7.0,3.0,LinkedIn,7.0
U340,36,Female,6.1,7.0,7.0,5.0,2.0,YouTube,9.0
U341,48,Male,4.7,6.0,7.0,3.0,0.0,Instagram,8.0
U342,45,Female,5.6,6.0,6.0,1.0,3.0,LinkedIn,7.0
U343,38,Female,5.9,7.0,7.0,1.0,1.0,Instagram,8.0
U344,25,Male,6.3,5.0,9.0,5.0,4.0,Facebook,8.0
U345,20,Female,3.6,6.0,5.0,2.0,2.0,X (Twitter),10.0
U346,49,Male,6.7,6.0,8.0,1.0,4.0,Instagram,8.0
U347,46,Other,3.5,7.0,6.0,1.0,2.0,YouTube,10.0
U348,25,Male,8.4,5.0,8.0,2.0,3.0,TikTok,8.0
U349,34,Male,4.1,8.0,4.0,5.0,4.0,LinkedIn,10.0
U350,47,Male,6.0,6.0,7.0,3.0,2.0,Instagram,8.0
U351,16,Other,7.3,5.0,9.0,0.0,2.0,Instagram,8.0
U352,20,Female,5.0,6.0,5.0,3.0,3.0,YouTube,9.0
U353,19,Female,6.1,6.0,8.0,3.0,3.0,X (Twitter),9.0
U354,31,Male,8.1,5.0,9.0,2.0,2.0,Instagram,6.0
U355,39,Female,6.5,5.0,5.0,5.0,0.0,Instagram,10.0
U356,31,Male,6.1,6.0,6.0,2.0,2.0,X (Twitter),8.0
U357,17,Female,2.5,9.0,4.0,5.0,4.0,YouTube,10.0
U358,43,Male,3.8,8.0,5.0,4.0,1.0,LinkedIn,10.0
U359,47,Male,7.4,6.0,7.0,5.0,2.0,LinkedIn,7.0
U360,42,Male,6.5,5.0,7.0,1.0,2.0,Instagram,8.0
U361,35,Female,6.8,4.0,9.0,3.0,0.0,X (Twitter),7.0
U362,39,Female,6.6,6.0,7.0,3.0,1.0,Instagram,7.0
U363,27,Male,7.8,5.0,8.0,0.0,4.0,TikTok,6.0
U364,48,Female,5.0,8.0,6.0,5.0,0.0,LinkedIn,10.0
U365,48,Male,5.7,7.0,7.0,1.0,3.0,Facebook,9.0
U366,27,Female,3.6,8.0,5.0,2.0,1.0,TikTok,10.0
