Date,Year,t,Elevation,Change,Content
20-Feb,2022,50,1067.05,-0.03,8967000
21-Feb,2022,51,1067.04,-0.01,8966000
22-Feb,2022,52,1066.99,-0.05,8962000
23-Feb,2022,53,1066.91,-0.08,8956000
24-Feb,2022,54,1066.82,-0.09,8949000
25-Feb,2022,55,1066.72,-0.1,8941000
26-Feb,2022,56,1066.73,0.01,8942000
27-Feb,2022,57,1066.81,0.08,8947904
28-Feb,2022,58,1066.78,-0.03,8946000
1-Mar,2022,59,1066.68,-0.1,8938000
2-Mar,2022,60,1066.56,-0.12,8928000
3-Mar,2022,61,1066.42,-0.14,8917000
4-Mar,2022,62,1066.27,-0.15,8906000
5-Mar,2022,63,1066.1,-0.17,8892000
6-Mar,2022,64,1066.03,-0.07,8887000
7-Mar,2022,65,1065.85,-0.18,8873000
8-Mar,2022,66,1065.71,-0.14,8862000
9-Mar,2022,67,1065.5,-0.21,8846000
10-Mar,2022,68,1065.28,-0.22,8829000
11-Mar,2022,69,1065.08,-0.2,8813000
12-Mar,2022,70,1064.94,-0.14,8802000
13-Mar,2022,71,1064.85,-0.09,8795000
14-Mar,2022,72,1064.66,-0.19,8780000
15-Mar,2022,73,1064.44,-0.22,8763000
16-Mar,2022,74,1064.3,-0.14,8753000
17-Mar,2022,75,1064.05,-0.25,8733000
18-Mar,2022,76,1063.87,-0.18,8719000
19-Mar,2022,77,1063.71,-0.16,8707000
20-Mar,2022,78,1063.65,-0.06,8702000
21-Mar,2022,79,1063.44,-0.21,8686000
22-Mar,2022,80,1063.25,-0.19,8671000
23-Mar,2022,81,1063.03,-0.22,8655000
24-Mar,2022,82,1062.76,-0.27,8634000
25-Mar,2022,83,1062.51,-0.25,8615000
26-Mar,2022,84,1062.36,-0.15,8603000
27-Mar,2022,85,1062.18,-0.18,8589000
28-Mar,2022,86,1062.01,-0.17,8576000
29-Mar,2022,87,1061.85,-0.16,8564000
30-Mar,2022,88,1061.67,-0.18,8550000
31-Mar,2022,89,1061.49,-0.18,8536000
1-Apr,2022,90,1061.29,-0.2,8521000
2-Apr,2022,91,1061.17,-0.12,8512000
3-Apr,2022,92,1061.04,-0.13,8502000
4-Apr,2022,93,1060.84,-0.2,8487000
5-Apr,2022,94,1060.64,-0.2,8472000
6-Apr,2022,95,1060.36,-0.28,8450000
7-Apr,2022,96,1060.1,-0.26,8431000
8-Apr,2022,97,1059.83,-0.27,8410212
9-Apr,2022,98,1059.65,-0.18,8396579
10-Apr,2022,99,1059.52,-0.13,8386732
11-Apr,2022,100,1059.2,-0.32,8363000
12-Apr,2022,101,1059.02,-0.18,8349000
13-Apr,2022,102,1058.76,-0.26,8329000
14-Apr,2022,103,1058.47,-0.29,8307000
15-Apr,2022,104,1058.29,-0.18,8294000
16-Apr,2022,105,1058.12,-0.17,8281000
17-Apr,2022,106,1057.98,-0.14,8271000
18-Apr,2022,107,1057.77,-0.21,8255000
19-Apr,2022,108,1057.46,-0.31,8232000
20-Apr,2022,109,1057.21,-0.25,8213000
21-Apr,2022,110,1056.93,-0.28,8192000
22-Apr,2022,111,1056.68,-0.25,8173000
23-Apr,2022,112,1056.56,-0.12,8164000
24-Apr,2022,113,1056.37,-0.19,8150000
25-Apr,2022,114,1056.15,-0.22,8134000
26-Apr,2022,115,1055.83,-0.32,8110000
27-Apr,2022,116,1055.72,-0.11,8102000
28-Apr,2022,117,1055.45,-0.27,8082000
29-Apr,2022,118,1055.05,-0.4,8052000
30-Apr,2022,119,1054.69,-0.36,8026000
1-May,2022,120,1054.55,-0.14,8015000
2-May,2022,121,1054.21,-0.34,7990000
3-May,2022,122,1053.98,-0.23,7973000
4-May,2022,123,1053.76,-0.22,7957000
5-May,2022,124,1053.53,-0.23,7940000
6-May,2022,125,1053.29,-0.24,7922000
7-May,2022,126,1053.11,-0.18,7909000
8-May,2022,127,1052.94,-0.17,7897000
9-May,2022,128,1052.78,-0.16,7885000
10-May,2022,129,1052.39,-0.39,7856000
11-May,2022,130,1052.11,-0.28,7836000
12-May,2022,131,1051.93,-0.18,7823000
13-May,2022,132,1051.59,-0.34,7798000
14-May,2022,133,1051.31,-0.28,7778000
15-May,2022,134,1051.05,-0.26,7759000
16-May,2022,135,1050.76,-0.29,7738000
17-May,2022,136,1050.44,-0.32,7715000
18-May,2022,137,1050.27,-0.17,7702000
19-May,2022,138,1050.01,-0.26,7684000
20-May,2022,139,1049.88,-0.13,7674000
21-May,2022,140,1049.77,-0.11,7666000
22-May,2022,141,1049.65,-0.12,7658000
23-May,2022,142,1049.52,-0.13,7648000
24-May,2022,143,1049.24,-0.28,7628000
25-May,2022,144,1048.96,-0.28,7608000
26-May,2022,145,1048.66,-0.3,7586000
27-May,2022,146,1048.41,-0.25,7568000
28-May,2022,147,1048.22,-0.19,7555000
29-May,2022,148,1048.17,-0.05,7551000
30-May,2022,149,1048,-0.17,7539000
31-May,2022,150,1047.69,-0.31,7517000
1-Jun,2022,151,1047.45,-0.24,7500000
2-Jun,2022,152,1047.34,-0.11,7492000
3-Jun,2022,153,1046.98,-0.36,7466000
4-Jun,2022,154,1046.9,-0.08,7461000
5-Jun,2022,155,1046.79,-0.11,7453000
6-Jun,2022,156,1046.71,-0.08,7447000
7-Jun,2022,157,1046.53,-0.18,7434000
8-Jun,2022,158,1046.32,-0.21,7419000
9-Jun,2022,159,1046.15,-0.17,7407000
10-Jun,2022,160,1045.92,-0.23,7391000
11-Jun,2022,161,1045.74,-0.18,7378000
12-Jun,2022,162,1045.57,-0.17,7366000
13-Jun,2022,163,1045.39,-0.18,7354000
14-Jun,2022,164,1045.22,-0.17,7342000
15-Jun,2022,165,1045.02,-0.2,7327000
16-Jun,2022,166,1044.76,-0.26,7309000
17-Jun,2022,167,1044.56,-0.2,7295000
18-Jun,2022,168,1044.44,-0.12,7287000
19-Jun,2022,169,1044.38,-0.06,7282000
20-Jun,2022,170,1044.25,-0.13,7273267
21-Jun,2022,171,1044.06,-0.19,7260000
22-Jun,2022,172,1043.82,-0.24,7243000
23-Jun,2022,173,1043.68,-0.14,7233000
24-Jun,2022,174,1043.52,-0.16,7222000
25-Jun,2022,175,1043.42,-0.1,7215000
26-Jun,2022,176,1043.41,-0.01,7214000
27-Jun,2022,177,1043.35,-0.06,7210000
28-Jun,2022,178,1043.22,-0.13,7201000
29-Jun,2022,179,1043.13,-0.09,7195000
30-Jun,2022,180,1043.02,-0.11,7187000
1-Jul,2022,181,1042.91,-0.11,7179000
2-Jul,2022,182,1042.83,-0.08,7174000
3-Jul,2022,183,1042.76,-0.07,7169000
4-Jul,2022,184,1042.79,0.03,7171000
5-Jul,2022,185,1042.64,-0.15,7160570
6-Jul,2022,186,1042.56,-0.08,7155000
7-Jul,2022,187,1042.35,-0.21,7140000
8-Jul,2022,188,1042.17,-0.18,7128000
9-Jul,2022,189,1042.05,-0.12,7119000
10-Jul,2022,190,1041.99,-0.06,7115000
11-Jul,2022,191,1041.91,-0.08,7110000
12-Jul,2022,192,1041.76,-0.15,7099346
13-Jul,2022,193,1041.56,-0.2,7085000
14-Jul,2022,194,1041.46,-0.1,7079000
15-Jul,2022,195,1041.39,-0.07,7074000
16-Jul,2022,196,1041.35,-0.04,7071000
17-Jul,2022,197,1041.3,-0.05,7067000
18-Jul,2022,198,1041.17,-0.13,7058000
19-Jul,2022,199,1041.04,-0.13,7049000
20-Jul,2022,200,1040.91,-0.13,7040450
21-Jul,2022,201,1040.76,-0.15,7030000
22-Jul,2022,202,1040.72,-0.04,7027000
23-Jul,2022,203,1040.72,0,7027000
24-Jul,2022,204,1040.69,-0.03,7025000
25-Jul,2022,205,1040.73,0.04,7028000
26-Jul,2022,206,1040.66,-0.07,7023000
27-Jul,2022,207,1040.63,-0.03,7021000
28-Jul,2022,208,1040.58,-0.05,7018000
29-Jul,2022,209,1040.7,0.12,7026000
30-Jul,2022,210,1040.82,0.12,7034000
31-Jul,2022,211,1040.92,0.1,7041000
1-Aug,2022,212,1040.91,-0.01,7040000
2-Aug,2022,213,1040.8,-0.11,7033000
3-Aug,2022,214,1040.77,-0.03,7031000
4-Aug,2022,215,1040.93,0.16,7042000
5-Aug,2022,216,1041.14,0.21,7056000
6-Aug,2022,217,1041.33,0.19,7070000
7-Aug,2022,218,1041.46,0.13,7079000
8-Aug,2022,219,1041.53,0.07,7083000
9-Aug,2022,220,1041.5,-0.03,7081000
10-Aug,2022,221,1041.51,0.01,7082000
11-Aug,2022,222,1041.56,0.05,7085000
12-Aug,2022,223,1041.74,0.18,7098000
13-Aug,2022,224,1042,0.26,7116000
14-Aug,2022,225,1042.21,0.21,7131000
15-Aug,2022,226,1042.32,0.11,7138000
16-Aug,2022,227,1042.36,0.04,7141000
17-Aug,2022,228,1042.48,0.12,7149000
18-Aug,2022,229,1042.61,0.13,7158000
19-Aug,2022,230,1042.84,0.23,7175000
20-Aug,2022,231,1043.07,0.23,7191000
21-Aug,2022,232,1043.29,0.22,7206000
22-Aug,2022,233,1043.42,0.13,7215000
23-Aug,2022,234,1043.43,0.01,7216000
24-Aug,2022,235,1043.48,0.05,7219000
25-Aug,2022,236,1043.48,0,7219000
26-Aug,2022,237,1043.61,0.13,7228000
27-Aug,2022,238,1043.83,0.22,7244000
28-Aug,2022,239,1044.04,0.21,7259000
29-Aug,2022,240,1044.2,0.16,7270000
30-Aug,2022,241,1044.29,0.09,7276000
31-Aug,2022,242,1044.28,-0.01,7275000
1-Sep,2022,243,1044.31,0.03,7277000
2-Sep,2022,244,1044.38,0.07,7282000
3-Sep,2022,245,1044.37,-0.01,7282000
4-Sep,2022,246,1044.26,-0.11,7274000
5-Sep,2022,247,1044.23,-0.03,7272000
6-Sep,2022,248,1044.1,-0.13,7263000
7-Sep,2022,249,1044.04,-0.06,7259000
8-Sep,2022,250,1043.94,-0.1,7251000
9-Sep,2022,251,1043.78,-0.16,7240000
10-Sep,2022,252,1043.79,0.01,7241000
11-Sep,2022,253,1043.85,0.06,7245000
12-Sep,2022,254,1043.86,0.01,7246000
13-Sep,2022,255,1043.96,0.1,7253000
14-Sep,2022,256,1044.01,0.05,7256000
15-Sep,2022,257,1044.12,0.11,7264000
16-Sep,2022,258,1044.26,0.14,7274000
17-Sep,2022,259,1044.33,0.07,7279000
18-Sep,2022,260,1044.41,0.08,7285000
19-Sep,2022,261,1044.43,0.02,7286000
20-Sep,2022,262,1044.45,0.02,7287000
21-Sep,2022,263,1044.52,0.07,7292000
22-Sep,2022,264,1044.61,0.09,7299000
23-Sep,2022,265,1044.65,0.04,7301000
24-Sep,2022,266,1044.78,0.13,7311000
25-Sep,2022,267,1044.87,0.09,7317000
26-Sep,2022,268,1044.94,0.07,7322000
27-Sep,2022,269,1044.98,0.04,7325000
28-Sep,2022,270,1044.98,0,7325000
29-Sep,2022,271,1045,0.02,7326000
30-Sep,2022,272,1045.03,0.03,7328000
1-Oct,2022,273,1045.04,0.01,7329000
2-Oct,2022,274,1045.15,0.11,7337000
3-Oct,2022,275,1045.21,0.06,7341000
4-Oct,2022,276,1045.25,0.04,7344000
5-Oct,2022,277,1045.32,0.07,7349000
6-Oct,2022,278,1045.38,0.06,7353000
7-Oct,2022,279,1045.42,0.04,7356000
8-Oct,2022,280,1045.49,0.07,7361000
9-Oct,2022,281,1045.59,0.1,7367724
10-Oct,2022,282,1045.6,0.01,7368000
11-Oct,2022,283,1045.6,0,7368000
12-Oct,2022,284,1045.55,-0.05,7365000
13-Oct,2022,285,1045.51,-0.04,7362000
14-Oct,2022,286,1045.46,-0.05,7359000
15-Oct,2022,287,1045.46,0,7359000
16-Oct,2022,288,1045.42,-0.04,7356000
17-Oct,2022,289,1045.52,0.1,7363000
18-Oct,2022,290,1045.62,0.1,7370000
19-Oct,2022,291,1045.76,0.14,7380000
20-Oct,2022,292,1045.9,0.14,7390000
21-Oct,2022,293,1046.03,0.13,7398870
22-Oct,2022,294,1046.23,0.2,7413000
23-Oct,2022,295,1046.36,0.13,7422000
24-Oct,2022,296,1046.38,0.02,7423699
25-Oct,2022,297,1046.36,-0.02,7422000
26-Oct,2022,298,1046.35,-0.01,7422000
27-Oct,2022,299,1046.33,-0.02,7420000
28-Oct,2022,300,1046.29,-0.04,7417000
29-Oct,2022,301,1046.29,0,7417000
30-Oct,2022,302,1046.28,-0.01,7416605
31-Oct,2022,303,1046.28,0,7417000
1-Nov,2022,304,1046.08,-0.2,7402000
2-Nov,2022,305,1045.83,-0.25,7385000
3-Nov,2022,306,1045.71,-0.12,7376000
4-Nov,2022,307,1045.55,-0.16,7365000
5-Nov,2022,308,1045.41,-0.14,7355000
6-Nov,2022,309,1045.29,-0.12,7347000
7-Nov,2022,310,1045.11,-0.18,7334000
8-Nov,2022,311,1044.89,-0.22,7318000
9-Nov,2022,312,1044.75,-0.14,7308000
10-Nov,2022,313,1044.65,-0.1,7301000
11-Nov,2022,314,1044.5,-0.15,7291000
12-Nov,2022,315,1044.41,-0.09,7285000
13-Nov,2022,316,1044.36,-0.05,7280996
14-Nov,2022,317,1044.36,0,7280996
15-Nov,2022,318,1044.27,-0.09,7274672
16-Nov,2022,319,1044.18,-0.09,7268348
17-Nov,2022,320,1044.06,-0.12,7259916
18-Nov,2022,321,1043.95,-0.11,7252000
19-Nov,2022,322,1043.85,-0.1,7245000
20-Nov,2022,323,1043.81,-0.04,7242000
21-Nov,2022,324,1043.73,-0.08,7237000
22-Nov,2022,325,1043.64,-0.09,7230000
23-Nov,2022,326,1043.58,-0.06,7226000
24-Nov,2022,327,1043.46,-0.12,7218000
25-Nov,2022,328,1043.39,-0.07,7213000
26-Nov,2022,329,1043.36,-0.03,7211000
27-Nov,2022,330,1043.29,-0.07,7206000
28-Nov,2022,331,1043.19,-0.1,7199000
29-Nov,2022,332,1043.1,-0.09,7193000
30-Nov,2022,333,1043.02,-0.08,7187000
1-Dec,2022,334,1042.89,-0.13,7178000
2-Dec,2022,335,1042.94,0.05,7181000
3-Dec,2022,336,1043.02,0.08,7187000
4-Dec,2022,337,1043.12,0.1,7194000
5-Dec,2022,338,1043.19,0.07,7199000
6-Dec,2022,339,1043.26,0.07,7204000
7-Dec,2022,340,1043.28,0.02,7205000
8-Dec,2022,341,1043.31,0.03,7207000
9-Dec,2022,342,1043.36,0.05,7211000
10-Dec,2022,343,1043.44,0.08,7216000
11-Dec,2022,344,1043.56,0.12,7225000
12-Dec,2022,345,1043.45,-0.11,7217000
13-Dec,2022,346,1043.47,0.02,7219000
14-Dec,2022,347,1043.47,0,7219000
15-Dec,2022,348,1043.54,0.07,7223000
16-Dec,2022,349,1043.67,0.13,7233000
17-Dec,2022,350,1043.81,0.14,7242000
18-Dec,2022,351,1043.9,0.09,7249000
19-Dec,2022,352,1043.94,0.04,7251000
20-Dec,2022,353,1043.99,0.05,7255000
21-Dec,2022,354,1044.04,0.05,7258510
22-Dec,2022,355,1044.03,-0.01,7258000
23-Dec,2022,356,1044.13,0.1,7265000
24-Dec,2022,357,1044.2,0.07,7270000
25-Dec,2022,358,1044.32,0.12,7278000
26-Dec,2022,359,1044.39,0.07,7283000
27-Dec,2022,360,1044.5,0.11,7291000
28-Dec,2022,361,1044.58,0.08,7296000
29-Dec,2022,362,1044.69,0.11,7304000
30-Dec,2022,363,1044.76,0.07,7309000
31-Dec,2022,364,1044.82,0.06,7313000
