,Country,Region,Year,Overall Score,Property Rights,Government Integrity,Judicial Effectiveness,Tax Burden,Government Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom,Financial Freedom
100,Morocco,Middle East/North Africa,2024,56.8,57.6,33.9,32.9,68.0,68.2,29.9,68.5,48.6,71.1,67.4,65.0,70.0
101,Türkiye,Europe,2024,56.2,40.6,35.0,24.4,72.5,71.0,77.5,59.2,54.6,38.5,70.8,70.0,60.0
102,Uzbekistan,Asia-Pacific,2024,55.9,32.9,29.1,15.3,92.8,70.4,72.1,61.0,48.2,63.6,75.6,60.0,50.0
103,Djibouti,Sub-Saharan Africa,2024,55.8,31.4,26.2,27.6,83.6,83.7,89.3,49.9,50.0,67.5,49.8,60.0,50.0
104,Ghana,Sub-Saharan Africa,2024,55.8,50.1,43.9,57.3,79.5,75.5,2.9,52.9,55.7,58.6,63.0,70.0,60.0
105,Cambodia,Asia-Pacific,2024,55.6,41.0,18.6,22.0,88.8,78.2,74.7,54.7,47.4,71.5,70.8,50.0,50.0
106,Eswatini,Sub-Saharan Africa,2024,55.6,44.9,29.9,36.4,78.3,72.6,63.6,46.4,54.8,76.6,73.6,50.0,40.0
107,Bhutan,Asia-Pacific,2024,55.4,67.3,71.0,64.2,83.6,61.8,36.5,67.0,56.7,69.2,37.6,20.0,30.0
108,Senegal,Sub-Saharan Africa,2024,55.4,55.5,45.6,50.5,69.0,79.2,21.7,54.0,54.5,68.0,66.2,60.0,40.0
109,Mauritania,Sub-Saharan Africa,2024,55.3,35.3,22.9,28.1,76.0,85.9,94.8,34.4,60.3,72.7,63.0,50.0,40.0
110,South Africa,Sub-Saharan Africa,2024,55.3,44.7,48.0,58.3,65.2,66.9,19.7,61.4,72.1,74.5,72.4,40.0,40.0
111,Kyrgyz Republic,Asia-Pacific,2024,55.2,22.4,24.8,11.4,94.0,66.0,92.2,55.0,52.3,62.4,71.8,60.0,50.0
112,Greece,Europe,2024,55.1,76.9,55.2,69.9,60.6,3.4,5.6,73.9,62.8,68.9,79.2,55.0,50.0
113,Ecuador,Americas,2024,55.0,32.9,34.9,48.5,74.7,55.1,79.9,65.0,57.0,75.3,66.4,30.0,40.0
114,Solomon Islands,Asia-Pacific,2024,55.0,44.7,41.7,60.1,71.5,67.7,81.1,45.7,60.5,77.4,65.2,15.0,30.0
115,Bangladesh,Asia-Pacific,2024,54.4,36.0,23.0,28.8,82.4,94.9,69.1,50.2,47.3,69.5,62.0,50.0,40.0
116,El Salvador,Americas,2024,54.4,41.6,33.6,14.4,76.6,71.7,42.8,62.5,54.8,64.9,70.0,60.0,60.0
117,Angola,Sub-Saharan Africa,2024,54.3,40.4,27.8,25.7,86.5,85.8,91.1,44.6,50.8,60.0,68.6,30.0,40.0
118,Dominica,Americas,2024,54.0,67.9,59.4,82.7,76.4,0.0,7.4,63.7,49.9,75.8,54.8,70.0,40.0
119,Cameroon,Sub-Saharan Africa,2024,53.6,38.8,40.7,10.4,72.5,91.4,86.4,46.8,46.2,75.9,53.6,30.0,50.0
120,Kenya,Sub-Saharan Africa,2024,53.6,40.8,31.0,47.7,79.7,82.8,11.1,57.7,57.3,73.2,57.2,55.0,50.0
121,Nicaragua,Americas,2024,53.4,27.5,15.6,10.5,74.6,74.3,94.9,52.2,47.3,66.5,67.4,60.0,50.0
122,Guinea,Sub-Saharan Africa,2024,53.3,21.7,23.9,26.7,70.1,92.7,92.2,44.9,48.8,69.0,59.4,50.0,40.0
123,Brazil,Americas,2024,53.2,49.1,36.9,55.0,69.7,34.9,30.9,67.0,56.9,71.6,66.8,50.0,50.0
124,Nigeria,Sub-Saharan Africa,2024,53.1,24.5,21.7,34.5,84.8,94.7,44.2,42.9,73.7,63.2,67.6,45.0,40.0
125,India,Asia-Pacific,2024,52.9,49.2,40.8,52.1,73.7,73.5,6.9,68.3,58.4,69.1,62.2,40.0,40.0
126,Mali,Sub-Saharan Africa,2024,52.5,32.7,22.4,32.8,68.0,80.4,54.9,42.3,54.1,72.7,64.0,65.0,40.0
127,Niger,Sub-Saharan Africa,2024,52.3,38.4,31.6,37.3,77.6,84.5,40.5,34.0,54.0,72.3,63.0,55.0,40.0
128,Malawi,Sub-Saharan Africa,2024,52.1,48.6,36.3,52.8,77.6,82.2,8.7,30.8,55.9,64.0,68.4,50.0,50.0
129,Nepal,Asia-Pacific,2024,52.1,37.7,35.6,43.7,84.3,78.1,68.5,60.5,48.2,70.0,58.2,10.0,30.0
130,Comoros,Sub-Saharan Africa,2024,52.0,24.6,14.1,20.4,65.4,89.3,89.2,48.8,55.7,71.7,69.6,45.0,30.0
131,Russia,Europe,2024,52.0,20.9,25.9,32.1,89.8,59.7,95.6,54.4,57.4,58.9,69.4,30.0,30.0
132,Burkina Faso,Sub-Saharan Africa,2024,51.9,38.0,42.4,36.4,82.2,76.3,13.2,42.0,61.8,64.5,60.6,65.0,40.0
133,Lesotho,Sub-Saharan Africa,2024,51.9,43.3,41.6,43.4,77.2,22.4,63.7,44.4,57.9,72.8,61.2,55.0,40.0
134,Rwanda,Sub-Saharan Africa,2024,51.6,62.0,51.5,26.9,79.1,70.1,12.5,53.6,39.5,69.8,53.8,60.0,40.0
135,Chad,Sub-Saharan Africa,2024,51.4,27.8,11.1,14.7,77.8,89.1,95.2,28.3,53.5,71.7,47.2,60.0,40.0
136,Kiribati,Asia-Pacific,2024,51.3,73.2,49.0,66.7,70.7,0.0,19.5,60.9,58.4,76.9,80.0,30.0,30.0
137,Tajikistan,Asia-Pacific,2024,51.3,29.4,17.3,12.4,92.6,76.1,93.0,56.2,43.7,67.8,72.2,25.0,30.0
138,Togo,Sub-Saharan Africa,2024,50.9,36.6,27.5,37.0,69.6,83.0,19.9,51.2,51.9,69.1,65.0,60.0,40.0
139,Mozambique,Sub-Saharan Africa,2024,50.7,31.1,25.4,44.5,74.1,69.2,47.0,36.3,47.7,71.9,70.6,40.0,50.0
140,Uganda,Sub-Saharan Africa,2024,50.7,47.3,23.9,29.2,73.5,86.8,18.3,49.0,54.9,75.1,55.8,55.0,40.0
141,Laos,Asia-Pacific,2024,50.6,44.0,23.4,12.2,88.8,91.2,67.1,56.2,42.9,59.1,67.6,35.0,20.0
142,Timor-Leste,Asia-Pacific,2024,50.2,39.9,44.3,36.2,97.9,29.5,19.9,63.8,56.4,70.0,80.0,45.0,20.0
143,Argentina,Americas,2024,49.9,34.5,39.8,55.8,67.0,54.3,35.7,55.5,53.5,29.4,58.6,55.0,60.0
144,Liberia,Sub-Saharan Africa,2024,49.9,32.4,24.9,23.4,86.1,71.8,69.2,34.6,43.6,71.6,66.8,55.0,20.0
145,Egypt,Middle East/North Africa,2024,49.7,40.0,26.2,21.9,85.4,80.8,11.8,48.9,32.8,72.9,60.2,65.0,50.0
146,Pakistan,Asia-Pacific,2024,49.5,29.3,24.9,30.5,78.3,88.5,10.7,48.3,52.2,63.8,67.6,60.0,40.0
147,Papua New Guinea,Asia-Pacific,2024,49.4,42.9,28.7,43.6,71.9,84.8,17.2,34.9,64.9,70.8,77.8,25.0,30.0
148,Sri Lanka,Asia-Pacific,2024,49.2,51.8,36.9,49.4,77.5,88.2,0.0,53.4,55.1,49.2,69.2,30.0,30.0
149,Tunisia,Middle East/North Africa,2024,48.8,60.8,42.4,40.5,74.9,64.7,7.3,52.9,55.9,72.7,53.2,30.0,30.0
150,China,Asia-Pacific,2024,48.5,46.9,41.6,39.5,69.1,65.7,8.1,68.1,57.8,71.8,73.6,20.0,20.0
151,Belarus,Europe,2024,48.4,22.1,33.0,11.1,90.1,58.8,83.6,52.9,46.3,62.2,70.8,30.0,20.0
152,Zambia,Sub-Saharan Africa,2024,48.4,36.2,30.0,44.1,74.1,71.7,0.6,49.0,40.4,66.2,63.4,55.0,50.0
153,Lebanon,Middle East/North Africa,2024,48.3,30.7,22.7,24.0,90.5,94.7,69.2,48.9,57.6,10.1,71.4,30.0,30.0
154,Haiti,Americas,2024,48.2,12.0,12.5,17.5,81.7,97.5,89.9,32.4,55.1,53.8,66.4,30.0,30.0
155,Ethiopia,Sub-Saharan Africa,2024,47.9,27.7,33.8,20.6,78.4,94.4,79.0,44.1,39.3,49.8,57.4,30.0,20.0
156,Republic of Congo,Sub-Saharan Africa,2024,47.8,30.0,12.7,13.8,75.5,86.0,82.9,35.9,42.3,79.8,49.6,35.0,30.0
157,Maldives,Asia-Pacific,2024,47.8,49.4,39.0,44.5,92.4,42.9,0.0,49.4,51.8,76.2,62.6,35.0,30.0
158,Equatorial Guinea,Sub-Saharan Africa,2024,47.7,21.0,5.7,8.3,75.1,92.9,97.6,33.3,46.4,72.8,48.8,40.0,30.0
159,Democratic Republic of Congo,Sub-Saharan Africa,2024,47.6,15.1,11.3,12.6,74.2,93.0,93.1,32.6,55.6,65.6,68.2,30.0,20.0
160,Suriname,Americas,2024,46.7,41.9,38.1,45.4,70.8,69.8,0.0,53.3,63.4,44.1,64.2,40.0,30.0
161,Turkmenistan,Asia-Pacific,2024,46.3,18.1,7.8,10.0,94.3,96.7,99.9,37.3,30.3,67.4,74.2,10.0,10.0
162,Sierra Leone,Sub-Saharan Africa,2024,44.6,33.6,34.9,42.0,87.4,76.6,1.7,31.7,23.7,60.2,63.6,60.0,20.0
163,Algeria,Middle East/North Africa,2024,43.9,27.5,27.7,28.9,79.4,54.7,13.8,54.4,51.4,71.9,57.4,30.0,30.0
164,Bolivia,Americas,2024,43.5,21.3,28.2,28.1,86.9,61.2,7.2,54.5,46.0,72.4,60.6,15.0,40.0
165,Guinea-Bissau,Sub-Saharan Africa,2024,42.7,26.5,19.3,14.7,88.9,83.1,7.1,32.4,55.0,74.2,50.6,30.0,30.0
166,Burma,Asia-Pacific,2024,42.2,18.0,21.2,6.5,88.5,86.3,12.8,39.8,46.3,67.9,69.6,30.0,20.0
167,Central African Republic,Sub-Saharan Africa,2024,41.3,7.2,16.7,4.8,65.3,87.0,56.1,26.6,39.7,70.9,46.6,45.0,30.0
168,Iran,Middle East/North Africa,2024,41.2,23.8,17.1,18.8,81.1,95.3,62.5,37.9,48.8,38.2,55.8,5.0,10.0
169,Eritrea,Sub-Saharan Africa,2024,39.5,8.3,15.0,4.6,80.3,62.3,69.0,30.7,51.4,63.8,68.4,0.0,20.0
170,Burundi,Sub-Saharan Africa,2024,38.4,28.2,12.0,7.1,76.0,67.6,10.7,27.7,41.9,60.3,49.6,50.0,30.0
171,Zimbabwe,Sub-Saharan Africa,2024,38.2,20.2,19.8,16.0,74.6,92.1,78.5,39.0,32.8,0.0,50.4,25.0,10.0
172,Sudan,Sub-Saharan Africa,2024,33.9,12.5,19.5,4.8,85.0,95.1,66.5,27.7,41.8,0.0,29.6,5.0,20.0
173,Venezuela,Americas,2024,28.1,0.0,6.4,3.3,75.9,96.6,36.5,31.0,35.7,0.0,42.2,0.0,10.0
174,Cuba,Americas,2024,25.7,30.1,36.2,15.2,51.9,0.0,0.0,41.5,20.0,20.3,72.8,10.0,10.0
175,North Korea,Asia-Pacific,2024,2.9,16.0,3.6,5.4,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0
